system:index,BUSINESS_E,EFFECTIVE_,FIRE_DISTU,FIRE_FINAL,FIRE_GENER,FIRE_OUT_D,FIRE_RESPO,FIRE_START,FIRE_TYPE_,Fire_ID,Fire_Year,GENERAL_CO,LOCATION_A,OBJECTID,OGF_ID,SHAPEAREA,SHAPELEN,SYSTEM_DAT,nbr10,nbr2,nbr3,nbr4,nbr5,nbr6,nbr7,nbr8,nbr9,old_f_id,preNBR,.geo
000000000000000004d2,1329811200000,1329811200000,THU22,1317,RWY,1308812400000,FUL,1305788400000,IFR,THU22_2011_1831,2011,,Within 100 metres,2068,72859096,0,0,1329811200000,0.5339864409631213,0.3339804213552769,0.42352602557827884,0.4476278013983946,0.47801250212093765,0.4768079234511617,0.48397168741678714,0.4488050535535402,0.4802941519943638,1831,0.48903804790359773,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004c2,1329811200000,1329811200000,SLK60,19001,LTG,1312009200000,FUL,1307257200000,IFR,SLK60_2011_1815,2011,,Within 100 metres,2051,72858929,0,0,1329811200000,0.5141262196853735,0.4191174296268429,0.456393709757163,0.469211591658622,0.4791681172498281,0.5154597362947309,0.4932258642389149,0.4623220824195255,0.4749813537709763,1815,0.5550926922136515,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004c8,1329811200000,1329811200000,SLK35,112000,LTG,1322553600000,MOD,1307343600000,IFR,SLK35_2011_1821,2011,,Within 100 metres,2057,72858984,0,0,1329811200000,0.523125454185408,0.39517519861826694,0.46044437935451754,0.4505969382331984,0.47193745570852236,0.48340408216972003,0.484390937676062,0.4691033477881987,0.4792235298414854,1821,0.5641637990744002,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004d0,1329811200000,1329811200000,THU33,125,LTG,1310194800000,FUL,1307430000000,IFR,THU33_2011_1829,2011,,Within 100 metres,2066,72859087,0,0,1329811200000,0.5361444351562791,0.368659984057083,0.49685098592339727,0.4654972871504096,0.4464932529426401,0.5135291250635783,0.589040009656666,0.4931228249736795,0.5108079341549575,1829,0.6180332213232862,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000480,1329811200000,1329811200000,WAW12,60,LTG,1309330800000,FUL,1307430000000,IFR,WAW12_2011_1749,2011,,Within 200 metres,1993,72861607,0,0,1329811200000,0.5510516551308661,0.42706269516395373,0.5370314187920754,0.4859635815053857,0.558642911753723,0.5174539111184816,0.4778827362988405,0.5054852298937492,0.6069681593383778,1749,0.5521100130657762,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004b1,1329811200000,1329811200000,SLK38,8674,LTG,1314428400000,MOD,1307948400000,IFR,SLK38_2011_1798,2011,,Within 100 metres,2034,72858763,0,0,1329811200000,0.4722088674064305,0.38277393858801356,0.4571664695267024,0.40926316108612437,0.4461932341656797,0.4820798171194588,0.43054534800254163,0.44302872368430335,0.4194405673609237,1798,0.5399914742599021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000448,1329811200000,1329811200000,SLK40,2000,LTG,1313391600000,MON,1308034800000,IFR,SLK40_2011_1693,2011,,Within 200 metres,1922,72861573,0,0,1329811200000,0.49610606633422294,0.39120570423052586,0.4501616162911742,0.42507427935661324,0.4534647306103569,0.4875173759168041,0.3889990634627732,0.4241393599671683,0.45853973857830976,1693,0.5046595526954183,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000044a,1329811200000,1329811200000,SLK45,600,LTG,1312873200000,MON,1309244400000,IFR,SLK45_2011_1695,2011,,Within 200 metres,1924,72861575,0,0,1329811200000,0.5834258587876493,0.34638198574469925,0.4610569339829984,0.4269422053905462,0.4418274020525359,0.4984554001023962,0.40530460486279846,0.43587725010768646,0.48541807571402035,1695,0.4692646360443969,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000449,1329811200000,1329811200000,SLK46,300,LTG,1312873200000,MON,1309244400000,IFR,SLK46_2011_1694,2011,,Within 200 metres,1923,72861574,0,0,1329811200000,0.4251996960425548,0.291662167858193,0.3563232825167344,0.34363869632895533,0.36495436912985874,0.41366055241685273,0.34194758053645424,0.36192724971377266,0.42489895495611174,1694,0.4916560074945209,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004a8,1329811200000,1329811200000,RED32,2931,LTG,1314428400000,MON,1309330800000,IFR,RED32_2011_1789,2011,,Within 100 metres,2025,72858864,0,0,1329811200000,0.4257286516194338,0.3427809839041462,0.3900229376930931,0.4283169483505862,0.4373338371757286,0.44843704663730516,0.4582455729521303,0.40440969513924724,0.41923573496378697,1789,0.545286249863589,"{""type"":""MultiPoint"",""coordinates"":[]}"
