system:index,BUSINESS_E,EFFECTIVE_,FIRE_DISTU,FIRE_FINAL,FIRE_GENER,FIRE_OUT_D,FIRE_RESPO,FIRE_START,FIRE_TYPE_,Fire_ID,Fire_Year,GENERAL_CO,LOCATION_A,OBJECTID,OGF_ID,SHAPEAREA,SHAPELEN,SYSTEM_DAT,nbr1,old_f_id,.geo
000000000000000003d0,1175497200000,1175497200000,NIP322,71,LTG,1159686000000,FUL,1157698800000,IFR,NIP322_2006_1573,2006,,Within 10 metres,1788,67527705,0,0,1176188400000,0.5300145152180191,1573,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003d9,1175497200000,1175497200000,NIP20,800,RES,1151046000000,FUL,1149750000000,IFR,NIP20_2006_1582,2006,,Within 10 metres,1797,67527651,0,0,1176188400000,0.26714300710637107,1582,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003da,1175497200000,1175497200000,NIP70,636,LTG,1154847600000,FUL,1152774000000,IFR,NIP70_2006_1583,2006,,Within 10 metres,1798,67527652,0,0,1176188400000,0.2550023704534254,1583,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003e2,1175497200000,1175497200000,SLK97,49,IDF,1158303600000,FUL,1156921200000,IFR,SLK97_2006_1591,2006,,Within 100 metres,1815,67527604,0,0,1176188400000,0.1677001803149351,1591,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003e3,1175497200000,1175497200000,NIP151,69,LTG,1156489200000,FUL,1154847600000,IFR,NIP151_2006_1592,2006,,Within 100 metres,1816,67527605,0,0,1176188400000,0.41143209688619203,1592,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003e4,1175497200000,1175497200000,SLK44,228,UNK,1153724400000,FUL,1152860400000,IFR,SLK44_2006_1593,2006,,Within 100 metres,1817,67527616,0,0,1176188400000,0.4153306781613545,1593,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003e5,1175497200000,1175497200000,RED14,100,LTG,1151132400000,FUL,1150268400000,IFR,RED14_2006_1594,2006,,Within 100 metres,1818,67527617,0,0,1176188400000,0.22728507638759682,1594,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003e6,1175497200000,1175497200000,RED15,64,LTG,1151046000000,FUL,1150527600000,IFR,RED15_2006_1595,2006,,Within 100 metres,1819,67527618,0,0,1176188400000,0.4227840437813853,1595,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003e7,1175497200000,1175497200000,NIP327,467,LTG,1160982000000,FUL,1157698800000,IFR,NIP327_2006_1596,2006,,Within 100 metres,1820,67527619,0,0,1176188400000,0.4259212943745432,1596,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003e9,1175497200000,1175497200000,THU187,41,LTG,1160636400000,FUL,1157785200000,IFR,THU187_2006_1598,2006,,Within 100 metres,1822,67527621,0,0,1176188400000,0.4966703880033442,1598,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ee,1175497200000,1175497200000,NIP264,241,LTG,1162454400000,FUL,1157698800000,IFR,NIP264_2006_1603,2006,,Within 10 metres,1829,67527690,0,0,1176188400000,0.3580315697067781,1603,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ef,1175497200000,1175497200000,NIP257,79,LTG,1161068400000,FUL,1157612400000,IFR,NIP257_2006_1604,2006,,Within 10 metres,1830,67527693,0,0,1176188400000,0.39243004189301395,1604,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003f1,1175497200000,1175497200000,COC14,41,RWY,1148367600000,FUL,1147158000000,IFR,COC14_2006_1606,2006,,Within 10 metres,1832,67527695,0,0,1176188400000,0.5442949977238755,1606,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003f2,1175497200000,1175497200000,NIP323,1564,LTG,1164009600000,FUL,1157698800000,IFR,NIP323_2006_1607,2006,,Within 10 metres,1833,67527696,0,0,1176188400000,0.442812377653067,1607,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003f3,1175497200000,1175497200000,NIP328,220,LTG,1161327600000,FUL,1157698800000,IFR,NIP328_2006_1608,2006,,Within 10 metres,1834,67527697,0,0,1176188400000,0.4954653883666674,1608,"{""type"":""MultiPoint"",""coordinates"":[]}"
