system:index,BUSINESS_E,EFFECTIVE_,FIRE_DISTU,FIRE_FINAL,FIRE_GENER,FIRE_OUT_D,FIRE_RESPO,FIRE_START,FIRE_TYPE_,Fire_ID,Fire_Year,GENERAL_CO,LOCATION_A,OBJECTID,OGF_ID,SHAPEAREA,SHAPELEN,SYSTEM_DAT,nbr1,old_f_id,.geo
0000000000000000011d,1049184000000,1059634800000,RED8,1157,LTG,549270000000,NR,547196400000,IFR,RED8_1987_393,1987,Origin:NR,AP Approximate (to 500m),466,46001150,0,0,1114671600000,0.38801407235670116,393,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000128,1049184000000,1059634800000,RED46,241,LTG,556441200000,NR,551602800000,IFR,RED46_1987_416,1987,Origin:NR,AP Approximate (to 500m),490,46001148,0,0,1114671600000,0.503874854838258,416,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000141,1049184000000,1059634800000,GOG1,368,RWY,550134000000,NR,547196400000,IFR,GOG1_1987_468,1987,Origin:NR,AP Approximate (to 500m),548,46001138,0,0,1114671600000,0.426653088847801,468,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000147,1049184000000,1059634800000,HEA6,461,IDF,549615600000,NR,547887600000,IFR,HEA6_1987_479,1987,Origin:NR,AP Approximate (to 500m),561,46001140,0,0,1114671600000,0.47041716205486983,479,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014f,1049184000000,1059634800000,IGN9,3450,LTG,549788400000,NR,547714800000,IFR,IGN9_1987_492,1987,Origin:NR,AP Approximate (to 500m),577,46001141,0,0,1114671600000,0.3506912624981854,492,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016e,1049184000000,1059634800000,FOR79,1600,RES,562665600000,NR,559638000000,IFR,FOR79_1987_542,1987,Origin:NR,AP Approximate (to 500m),635,46001131,0,0,1114671600000,0.5136727524198588,542,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017e,1049184000000,1059634800000,SIO64,27063,LTG,555663600000,NR,550652400000,IFR,SIO64_1987_568,1987,Origin:NR,AP Approximate (to 500m),663,46001153,0,0,1114671600000,0.3780784774630564,568,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001a3,1049184000000,1059634800000,RED28,1270,LTG,556527600000,NR,551257200000,IFR,RED28_1987_634,1987,Origin:NR,AP Approximate (to 500m),734,46001147,0,0,1114671600000,0.3681675805415276,634,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001a6,1049184000000,1059634800000,FOR33,1589,IDO,549702000000,NR,547196400000,IFR,FOR33_1987_639,1987,Origin:NR,AP Approximate (to 500m),739,46001127,0,0,1114671600000,0.3897604261600856,639,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ad,1049184000000,1059634800000,THU71,2400,UNK,553244400000,NR,547455600000,IFR,THU71_1987_651,1987,Origin:NR,AP Approximate (to 500m),752,46001154,0,0,1114671600000,0.40412171321324414,651,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000210,1049184000000,1059634800000,FOR35,1680,MIS,548665200000,NR,547455600000,IFR,FOR35_1987_812,1987,Origin:NR,AP Approximate (to 500m),936,46001128,0,0,1114671600000,0.5443282432640226,812,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000211,1049184000000,1059634800000,ATI10,250,REC,549010800000,NR,547542000000,IFR,ATI10_1987_819,1987,Origin:NR,AP Approximate (to 500m),945,46001120,0,0,1114671600000,0.49046029599489804,819,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000021b,1049184000000,1059634800000,GER21,1445,LTG,553417200000,NR,550825200000,IFR,GER21_1987_831,1987,Origin:NR,AP Approximate (to 500m),957,46001134,0,0,1114671600000,0.2915522670664979,831,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000021e,1049184000000,1059634800000,FOR8,500,MIS,545468400000,NR,545122800000,IFR,FOR8_1987_835,1987,Origin:NR,AP Approximate (to 500m),962,46001132,0,0,1114671600000,0.5019869570005366,835,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000239,1049184000000,1059634800000,THU82,200,LTG,549615600000,NR,547887600000,IFR,THU82_1987_885,1987,Origin:NR,AP Approximate (to 500m),1015,46001155,0,0,1114671600000,0.48315649492159557,885,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000024e,1049184000000,1059634800000,COC15,375,LTG,552812400000,NR,550998000000,IFR,COC15_1987_935,1987,Origin:NR,AP Approximate (to 500m),1068,46001124,0,0,1114671600000,0.44401735832135597,935,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000027b,1049184000000,1059634800000,RED49,3081,LTG,556441200000,NR,551602800000,IFR,RED49_1987_1006,1987,Origin:NR,AP Approximate (to 500m),1147,46001149,0,0,1114671600000,0.39608406630682247,1006,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000027d,1049184000000,1059634800000,FOR6,1916,MIS,545468400000,NR,544950000000,IFR,FOR6_1987_1013,1987,Origin:NR,AP Approximate (to 500m),1154,46001129,0,0,1114671600000,0.4734830007883155,1013,"{""type"":""MultiPoint"",""coordinates"":[]}"
