system:index,BUSINESS_E,EFFECTIVE_,FIRE_DISTU,FIRE_FINAL,FIRE_GENER,FIRE_OUT_D,FIRE_RESPO,FIRE_START,FIRE_TYPE_,Fire_ID,Fire_Year,GENERAL_CO,LOCATION_A,OBJECTID,OGF_ID,SHAPEAREA,SHAPELEN,SYSTEM_DAT,nbr10,nbr2,nbr3,nbr4,nbr5,nbr6,nbr7,nbr8,nbr9,old_f_id,preNBR,.geo
000000000000000003c6,1207292400000,1207292400000,NIP58,52,IDF,1186124400000,FUL,1185260400000,IFR,NIP58_2007_1563,2007,,Within 50 metres,1778,67926757,0,0,1207292400000,0.42689040493535957,0.22654527625166687,0.2133478789668455,0.2411824251126357,0.36668311068359233,0.2074126043728737,0.34324349506761714,0.39872710330426014,0.4828776749280403,1563,0.0810710888543881,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003c7,1207292400000,1207292400000,NIP40,55,LTG,1183186800000,FUL,1181631600000,IFR,NIP40_2007_1564,2007,,Within 50 metres,1779,67926758,0,0,1207292400000,0.5463329430787008,0.4514505466112223,0.4810663109526513,0.47147523408365066,0.5192905494087185,0.5023117669846688,0.4568874325678427,0.4321016969144715,0.517372757891095,1564,0.4848197052745943,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003c8,1207292400000,1268809200000,DRY8,42,RWY,1178434800000,FUL,1177830000000,IFR,DRY8_2007_1565,2007,,Within 50 metres,1780,67926760,0,0,1268809200000,0.5128215922039993,0.4117479774541024,0.4902674884541913,0.5551555931137852,0.5386572031135125,0.4680881988186937,0.5340937097150608,0.5219154936568798,0.4711267249131921,1565,0.4795830423708691,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003c9,1207292400000,1207292400000,KEN41,165,REC,1188457200000,FUL,1186038000000,IFR,KEN41_2007_1566,2007,,Within 50 metres,1781,67926763,0,0,1207292400000,0.626801618648311,0.445099176876189,0.5027858975078361,0.5664398356207369,0.5779193442585281,0.49681221868080416,0.5717713463115315,0.6005778993209264,0.5746795112689937,1566,0.517909995074311,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003db,1207292400000,1207292400000,THU36,44,RWY,1179385200000,FUL,1178607600000,IFR,THU36_2007_1584,2007,,Within 50 metres,1801,67926766,0,0,1207292400000,0.5237616365854171,0.6065093236046426,0.5947551550654803,0.6166795867866703,0.5792837242093115,0.4459500021483764,0.5539286070496174,0.553911997775751,0.5418539588540524,1584,0.5883882207406784,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003dc,1207292400000,1268809200000,TIM3,58,REC,1181026800000,FUL,1179903600000,IFR,TIM3_2007_1585,2007,,Within 50 metres,1802,67926767,0,0,1268809200000,0.5656981179865329,0.5001326196565435,0.5365534804618034,0.4551660824177562,0.44914854539972476,0.37537280802774453,0.5155195677030857,0.5173053623433921,0.5878011047925011,1585,0.5246868742128709,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003dd,1207292400000,1207292400000,SUD46,525,REC,1181977200000,FUL,1179558000000,IFR,SUD46_2007_1586,2007,,Within 50 metres,1804,67926770,0,0,1207292400000,0.6271843751666895,0.5546024906296625,0.5841360518808411,0.5955241325938205,0.5386716891177223,0.5297909794532928,0.5990062939836419,0.5806429603039082,0.5924032791198597,1586,0.5997641781725033,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003de,1207292400000,1207292400000,SAU13,1555,MIS,1181890800000,FUL,1179039600000,IFR,SAU13_2007_1587,2007,,Within 50 metres,1805,67926771,0,0,1207292400000,0.6059713262243562,0.5235543458185606,0.595930694352756,0.6163320961087303,0.5723351979216583,0.5887719403469156,0.6020304607897228,0.5456878585721149,0.5906445108008271,1587,0.6347615845212577,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003df,1207292400000,1268809200000,PEM2,250,MIS,1178780400000,FUL,1178607600000,IFR,PEM2_2007_1588,2007,,Within 50 metres,1806,67926772,0,0,1268809200000,0.621359442834253,0.6812610739034624,0.6110491642299335,0.6788381423647241,0.6523403145780999,0.6593667881120013,0.6006076552018988,0.6440397023719893,0.607355749966554,1588,0.65628620774307,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000425,1268722800000,1268722800000,SLK11,16702,RWY,1182754800000,FUL,1178694000000,IFR,SLK11_2007_1658,2007,,Within 10 metres,1885,70037145,0,0,1268722800000,0.574824652497773,0.42984193631206785,0.4402669624215682,0.5311106227288852,0.4889966222091734,0.4203609423685831,0.5196550307896689,0.5484617696956899,0.5200727246023784,1658,0.49384601445678133,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000426,1268722800000,1268722800000,DRY10,67,MIS,1179212400000,FUL,1178348400000,IFR,DRY10_2007_1659,2007,,Within 10 metres,1886,70037146,0,0,1268722800000,0.6272611589150509,0.46612225626828363,0.5703984250271329,0.6494110026339113,0.613213361816918,0.5085143061855718,0.5464206672233246,0.6234910159661581,0.5372349033416228,1659,0.5982685577654533,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000427,1268722800000,1268722800000,NIP26,120,LTG,1180940400000,FUL,1178780400000,IFR,NIP26_2007_1660,2007,,Within 10 metres,1887,70037147,0,0,1268722800000,0.5674615185262247,0.6357000233636163,0.6663546354063536,0.6210490800176847,0.6286776288986251,0.5257567403191913,0.6092239518326098,0.6423672724387632,0.5514426763282471,1660,0.6770029984043398,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000428,1268722800000,1268722800000,THU39,685,UNK,1181804400000,FUL,1179039600000,IFR,THU39_2007_1661,2007,,Within 10 metres,1888,70037148,0,0,1268722800000,0.6079187896465018,0.549804069295403,0.5457404430634781,0.6021048139375046,0.5559571367981077,0.4930564141243383,0.5442007391572364,0.5873755860328409,0.5640190961108138,1661,0.5999107504496359,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000429,1268722800000,1268722800000,THU37,13051,REC,1181977200000,FUL,1178694000000,IFR,THU37_2007_1662,2007,,Within 10 metres,1889,70037149,0,0,1268722800000,0.6512096152415525,0.5240692001574118,0.4677779858706294,0.5737525380548879,0.5602938471148476,0.5404852650086975,0.5408892312499008,0.6126951869590884,0.571228928503571,1662,0.5999939654917099,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003c5,1207292400000,1207292400000,RED11,1400,LTG,1183705200000,MON,1181286000000,IFR,RED11_2007_1562,2007,,Within 50 metres,1775,67926754,0,0,1207292400000,0.4920173261750651,0.3951126057630077,0.4313133896270014,0.38595047963401935,0.4891711218517088,0.4354541468191998,0.4766827574159145,0.468572234529275,0.4884685072809855,1562,0.5637508474178032,"{""type"":""MultiPoint"",""coordinates"":[]}"
