system:index,BUSINESS_E,EFFECTIVE_,FIRE_DISTU,FIRE_FINAL,FIRE_GENER,FIRE_OUT_D,FIRE_RESPO,FIRE_START,FIRE_TYPE_,Fire_ID,Fire_Year,GENERAL_CO,LOCATION_A,OBJECTID,OGF_ID,SHAPEAREA,SHAPELEN,SYSTEM_DAT,nbr1,nbr10,nbr2,nbr3,nbr4,nbr5,nbr6,nbr7,nbr8,nbr9,old_f_id,preNBR,.geo
000000000000000000cf,1049184000000,1059634800000,SIO45,310,LTG,740646000000,MON,739782000000,IFR,SIO45_1993_265,1993,Origin:NR,AP Approximate (to 500m),325,46001513,0,0,1114671600000,0.1604672484374413,0.3361299740005866,0.2832161882592989,0.2975768096557474,0.27641689657148283,0.29843653079168914,0.32724664799220077,0.3193008703462151,0.34155356591516656,0.35109217356247835,265,0.6215350149780833,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e5,1049184000000,1059634800000,RED22,15836,LTG,743151600000,MON,739263600000,IFR,RED22_1993_309,1993,Origin:NR,AP Approximate (to 500m),375,46001501,0,0,1114671600000,0.3383793188840895,0.4702246110883474,0.3451744631860876,0.3643846544684625,0.44140357723946727,0.4259450022132889,0.42938654493198,0.4492030232589907,0.45588234536377564,0.49271658657855133,309,0.523341901015581,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000154,1049184000000,1059634800000,SIO44,290,LTG,740646000000,MON,739782000000,IFR,SIO44_1993_500,1993,Origin:NR,AP Approximate (to 500m),585,46001512,0,0,1114671600000,,0.4009475018622306,0.3347794497998537,0.39407086410949904,0.4142091015628537,0.39727751629289915,0.4272926077684482,0.3761326449986364,0.42202239925923346,0.39864735130845386,500,0.5937172977063077,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015d,1049184000000,1059634800000,SIO39,2300,LTG,740905200000,MON,739782000000,IFR,SIO39_1993_510,1993,Origin:NR,AP Approximate (to 500m),598,46001510,0,0,1114671600000,0.599909775709456,0.5238517395937243,0.446113923207055,0.484066886335112,0.48542347868271085,0.5217283688492921,0.519778062368091,0.5106784959571438,0.5258516282999156,0.49665819731402766,510,0.5490043155344269,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000181,1049184000000,1059634800000,GER19,800,LTG,743151600000,MON,740559600000,IFR,GER19_1993_575,1993,Origin:NR,AP Approximate (to 500m),672,46001500,0,0,1114671600000,0.2652793703638744,0.4395773600054266,0.3283237062845298,0.27035114956745787,0.40524337127239096,0.4448531363803854,0.44175661375562303,0.4444701182962425,0.4550397510934503,0.4830344993205121,575,0.5324772194834813,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000185,1049184000000,1059634800000,SIO48,2400,LTG,742028400000,MON,739782000000,IFR,SIO48_1993_588,1993,Origin:NR,AP Approximate (to 500m),686,46001514,0,0,1114671600000,0.3990547211318443,0.4921480095154732,0.4014679810578276,0.4835114628852643,0.444624441649665,0.5086734954804616,0.497298243942726,0.4916190214106037,0.5018268513339411,0.5021249038482439,588,0.6225943209876174,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d5,1049184000000,1059634800000,SIO41,33875,LTG,742028400000,MON,739782000000,IFR,SIO41_1993_717,1993,Origin:NR,AP Approximate (to 500m),827,46001511,0,0,1114671600000,0.3313609969011512,0.42958934412103417,0.3444679142059408,0.3888832634974124,0.4011558908562375,0.44485670287449797,0.4377966814181183,0.43430655601645135,0.45875182190000785,0.42278632215930106,717,0.5905974898631345,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000270,1049184000000,1059634800000,SIO37,9300,LTG,742028400000,MON,739782000000,IFR,SIO37_1993_991,1993,Origin:NR,AP Approximate (to 500m),1128,46001509,0,0,1114671600000,0.1743248066765286,0.4109918121477873,0.2839412617206145,0.2877300995001446,0.3485266746104013,0.39252240255902443,0.377938041307419,0.38612039349820065,0.38160667622975253,0.3791195182028615,991,0.4784278874271168,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002b0,1049184000000,1059634800000,SIO22,210,REC,738745200000,MON,737017200000,IFR,SIO22_1993_1099,1993,Origin:NR,AP Approximate (to 500m),1248,46001507,0,0,1114671600000,0.34539288183112066,0.20938826416845072,0.3819883074598357,0.4275000221291797,0.44170906691901896,0.4800818853335902,0.4699365180105912,0.5521532241594211,0.5206351890858297,0.25054080467802964,1099,0.521897055937142,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002cf,1049184000000,1059634800000,RED35,2329,LTG,743151600000,MON,740386800000,IFR,RED35_1993_1147,1993,Origin:NR,AP Approximate (to 500m),1303,46001504,0,0,1114671600000,0.4553391890643839,0.48812129192550024,0.42385784034746943,0.4345281942732422,0.4522826289273595,0.5254166378313567,0.5303331304512382,0.49609978461098686,0.5044588538204611,0.5108474272910641,1147,0.562081542899529,"{""type"":""MultiPoint"",""coordinates"":[]}"
