system:index,BUSINESS_E,EFFECTIVE_,FIRE_DISTU,FIRE_FINAL,FIRE_GENER,FIRE_OUT_D,FIRE_RESPO,FIRE_START,FIRE_TYPE_,Fire_ID,Fire_Year,GENERAL_CO,LOCATION_A,OBJECTID,OGF_ID,SHAPEAREA,SHAPELEN,SYSTEM_DAT,nbr1,nbr10,nbr2,nbr3,nbr4,nbr5,nbr6,nbr7,nbr8,nbr9,old_f_id,preNBR,.geo
00000000000000000087,1049184000000,1059634800000,COC25,2000,LTG,835945200000,MON,834822000000,IFR,COC25_1996_158,1996,Origin:NR,AP Approximate (to 500m),201,46001659,0,0,1114671600000,0.4003326012054029,0.44784769508434147,0.4288663692197941,0.4069680531722227,0.4340621496735032,0.46330565256090805,0.4539938748393165,0.4378853917782633,0.4829561820104011,0.5161932648319885,158,0.5408853338695128,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bc,1049184000000,1059634800000,THU40,650,LTG,836636400000,MON,834562800000,IFR,THU40_1996_234,1996,Origin:NR,AP Approximate (to 500m),291,46001759,0,0,1114671600000,0.457885417208591,0.45876243689079643,0.424776043778659,0.5035948090429873,0.5065638384105013,0.4853461666576983,0.4387126347606245,0.4123517155529478,0.4032648469271806,0.4422742239180624,234,0.5456689377224757,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c1,1049184000000,1059634800000,RED75,287,LTG,841734000000,MON,837586800000,IFR,RED75_1996_243,1996,Origin:NR,AP Approximate (to 500m),300,46001724,0,0,1114671600000,0.3097381592011536,0.4218527995786724,0.31880577853900366,0.3297994281414606,0.3693820191157469,0.39550138427975534,0.3975730052687041,0.3941226579685874,0.36713331048228326,0.44765973369778733,243,0.5231567657924223,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ee,1049184000000,1059634800000,COC28,2710,LTG,835945200000,MON,834822000000,IFR,COC28_1996_322,1996,Origin:NR,AP Approximate (to 500m),389,46001660,0,0,1114671600000,0.26896072162367046,0.45914839025991266,0.3352576029176227,0.3524420988341037,0.3837297869646555,0.4048857552959652,0.3669927167214226,0.33919617447931066,0.4011793087151203,0.48061057006352476,322,0.36333344922174765,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,1049184000000,1059634800000,SLK85,760,LTG,835599600000,MON,834562800000,IFR,SLK85_1996_338,1996,Origin:NR,AP Approximate (to 500m),408,46001747,0,0,1114671600000,0.4400380844382514,0.5088616114284242,0.49396141973701646,0.49872184152111443,0.5217245645543483,0.5209198511799065,0.5195494911554795,0.5019983561371247,0.49161625696227507,0.5232534533819301,338,0.5708511015455866,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000103,1049184000000,1059634800000,SLK69,3230,LTG,836809200000,MON,834476400000,IFR,SLK69_1996_352,1996,Origin:NR,AP Approximate (to 500m),423,46001740,0,0,1114671600000,0.37887161452109047,0.503127186067203,0.46388222762279496,0.4804264917962152,0.4736639282174366,0.4698801357042307,0.5093362889405781,0.46198649017446286,0.4541625343062005,0.5151669960214625,352,0.5953630333709506,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000170,1049184000000,1059634800000,COC53,4900,LTG,841993200000,MON,838796400000,IFR,COC53_1996_544,1996,Origin:NR,AP Approximate (to 500m),638,46001665,0,0,1114671600000,0.40073820892786716,0.5053916992164793,0.4312410765931643,0.4409237281221264,0.48084633877638217,0.4864647206354539,0.4473226429975395,0.4418283945332882,0.4858039325477246,0.5314166243540952,544,0.4711951748515216,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ab,1049184000000,1059634800000,SLK95,385,LTG,836550000000,MON,834735600000,IFR,SLK95_1996_646,1996,Origin:NR,AP Approximate (to 500m),746,46001751,0,0,1114671600000,0.366853791309531,0.47825533378759133,0.45370369408687555,0.44542998768617714,0.4206682887963479,0.43995225411183947,0.47020809817932707,0.4014671043692418,0.4213253428415388,0.4722064235021345,646,0.5744040284362718,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e1,1049184000000,1059634800000,THU105,260,LTG,837586800000,MON,835254000000,IFR,THU105_1996_736,1996,Origin:NR,AP Approximate (to 500m),847,46001754,0,0,1114671600000,0.4198873576580083,0.4236732606862483,0.6106975032144666,0.48400354992842226,0.47757734960694365,0.4786567045101792,0.4562148305131066,0.4206414142565195,0.39555879198404353,0.467865362892728,736,0.5291554515350466,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000201,1049184000000,1059634800000,SLK130,280,LTG,840006000000,MON,837414000000,IFR,SLK130_1996_788,1996,Origin:NR,AP Approximate (to 500m),906,46001727,0,0,1114671600000,0.29784588026561043,0.39485991876300014,0.3937322448098609,0.38074986249885634,0.40280810658742083,0.38904001794083065,0.36099303097796615,0.4091602194326426,0.37707204488399343,0.45009462966290736,788,0.4941654028981334,"{""type"":""MultiPoint"",""coordinates"":[]}"
