system:index,BUSINESS_E,EFFECTIVE_,FIRE_DISTU,FIRE_FINAL,FIRE_GENER,FIRE_OUT_D,FIRE_RESPO,FIRE_START,FIRE_TYPE_,Fire_ID,Fire_Year,GENERAL_CO,LOCATION_A,OBJECTID,OGF_ID,SHAPEAREA,SHAPELEN,SYSTEM_DAT,nbr1,nbr10,nbr2,nbr3,nbr4,nbr5,nbr6,nbr7,nbr8,nbr9,old_f_id,preNBR,.geo
000000000000000003d8,1175497200000,1175497200000,SLK30,550,LTG,1155711600000,MNP,1151391600000,IFR,SLK30_2006_1581,2006,,Within 10 metres,1796,67527650,0,0,1176188400000,0.4056501812776936,0.48853687139317314,0.43354047114082744,0.4273440519862983,0.4642463731539072,0.4407195546846997,0.4550759723772198,0.45058516036722784,0.4588443865907063,0.45141893421698587,1581,0.5853410483846795,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003c3,1175497200000,1175497200000,SAU78,52,LTG,1162540800000,FUL,1158476400000,IFR,SAU78_2006_1560,2006,,Within 10 metres,1760,67527723,0,0,1176188400000,0.669749073319429,0.6949707268967908,0.655700236390637,0.5927440601452639,0.6943783918274866,0.7018012263850205,0.6970693030611073,0.6389057863406037,0.6230262847584168,0.6098124577996993,1560,0.7261755199428115,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003c4,1175497200000,1175497200000,SUD8,86,RES,1148367600000,FUL,1147158000000,IFR,SUD8_2006_1561,2006,,Within 10 metres,1761,67527724,0,0,1176188400000,0.6077488684163033,0.5933771213181618,0.5793759996363991,0.5396212153634086,0.6450549631205846,0.6134039455466038,0.6055348742847537,0.6082012119191608,0.6582749483755871,0.6305860533610114,1561,0.5631326647189394,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ca,1175497200000,1175497200000,NIP262,110,LTG,1160722800000,FUL,1157612400000,IFR,NIP262_2006_1567,2006,,Within 10 metres,1782,67527699,0,0,1176188400000,0.4042880144643933,0.5833650451757887,0.4721597980915945,0.47000437907257775,0.5257720383850251,0.5114159363469429,,0.46337094234968623,0.6199767144934284,0.5924605103266879,1567,0.5730717961073049,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003cb,1175497200000,1175497200000,THU113,50,LTG,1159081200000,FUL,1157612400000,IFR,THU113_2006_1568,2006,,Within 10 metres,1783,67527700,0,0,1176188400000,0.392911514088888,0.6017325698566897,0.47907953158133604,0.4604461660041589,0.48111830380656434,0.5246065754477219,0.5184756519233646,0.42682984746404723,0.5881403557707854,0.5728500185299492,1568,0.5189046913543928,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003d0,1175497200000,1175497200000,NIP322,71,LTG,1159686000000,FUL,1157698800000,IFR,NIP322_2006_1573,2006,,Within 10 metres,1788,67527705,0,0,1176188400000,0.5300145152180191,0.5825073579688514,0.5106013569420426,0.6208863378591483,0.6355046066915666,0.6332040422438521,0.622062816319713,0.5982198268323701,0.6021296240932231,0.6450023299022605,1573,0.5498297673674555,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003d9,1175497200000,1175497200000,NIP20,800,RES,1151046000000,FUL,1149750000000,IFR,NIP20_2006_1582,2006,,Within 10 metres,1797,67527651,0,0,1176188400000,0.26714300710637107,0.5001193238009398,0.277692804276083,0.37575135699940526,0.36777050322838084,0.37824340437334,0.44661949259760375,0.29027944797017446,0.4333485231360623,0.4218082056287311,1582,0.44945365856279906,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003da,1175497200000,1175497200000,NIP70,636,LTG,1154847600000,FUL,1152774000000,IFR,NIP70_2006_1583,2006,,Within 10 metres,1798,67527652,0,0,1176188400000,0.2550023704534254,0.555060140561528,0.2952215299466979,0.3996499454097428,0.38285102556303763,0.4055789352705326,0.47780047715930374,0.3827891015322271,0.45773339563925264,0.427646583181352,1583,0.44785716167892387,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003e2,1175497200000,1175497200000,SLK97,49,IDF,1158303600000,FUL,1156921200000,IFR,SLK97_2006_1591,2006,,Within 100 metres,1815,67527604,0,0,1176188400000,0.16615736123691566,0.5191576925755671,0.22953017761662853,0.2714351423825625,0.3010301421429998,0.37476978368883057,0.35037122254232794,0.30925891713646375,0.3140589257482254,0.46811913626984347,1591,0.47093964037618075,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003e3,1175497200000,1175497200000,NIP151,69,LTG,1156489200000,FUL,1154847600000,IFR,NIP151_2006_1592,2006,,Within 100 metres,1816,67527605,0,0,1176188400000,0.41143209688619203,0.5579575822988871,0.4388022788328325,0.523825208480126,0.5264735821334574,0.5071871452254223,0.5775079598090129,0.48343400327405106,0.5298457636913271,0.5205639619749853,1592,0.4252151463269435,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003e4,1175497200000,1175497200000,SLK44,228,UNK,1153724400000,FUL,1152860400000,IFR,SLK44_2006_1593,2006,,Within 100 metres,1817,67527616,0,0,1176188400000,0.4282487501340139,0.5273495147594589,0.4629187612416892,0.36498184335855643,0.43011189405508515,0.4456519909367207,0.5307408143489146,0.42042521949399186,0.43722742215417104,0.45466475325111555,1593,0.5275067348781262,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003e5,1175497200000,1175497200000,RED14,100,LTG,1151132400000,FUL,1150268400000,IFR,RED14_2006_1594,2006,,Within 100 metres,1818,67527617,0,0,1176188400000,0.22728507638759682,0.3980234224148992,0.2347296419561637,0.25648596416266156,0.35770109072128986,0.3184218508755796,0.3124059863093945,0.3163444581444432,0.3169022469930606,0.343736124213682,1594,0.48855027562204234,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003e6,1175497200000,1175497200000,RED15,64,LTG,1151046000000,FUL,1150527600000,IFR,RED15_2006_1595,2006,,Within 100 metres,1819,67527618,0,0,1176188400000,0.4227840437813853,0.43426958899757967,0.4149425571110158,0.4883886738723346,0.4700410455171528,0.43083726021204805,0.45274405280451074,0.4223491595016201,0.47640246840085243,0.44517598016209403,1595,0.5386137686436929,"{""type"":""MultiPoint"",""coordinates"":[]}"
