system:index,BUSINESS_E,EFFECTIVE_,FIRE_DISTU,FIRE_FINAL,FIRE_GENER,FIRE_OUT_D,FIRE_RESPO,FIRE_START,FIRE_TYPE_,Fire_ID,Fire_Year,GENERAL_CO,LOCATION_A,OBJECTID,OGF_ID,SHAPEAREA,SHAPELEN,SYSTEM_DAT,nbr1,old_f_id,.geo
00000000000000000492,1300431600000,1300431600000,NIP35,50,REC,1277622000000,FUL,1276844400000,IFR,NIP35_2010_1767,2010,,Within 100 metres,2001,71294521,0,0,1300518000000,0.440435261817849,1767,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000493,1300431600000,1300431600000,HEA31,485,LTG,1281078000000,FUL,1276930800000,IFR,HEA31_2010_1768,2010,,Within 100 metres,2002,71294522,0,0,1300518000000,0.28227370097957527,1768,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000495,1300431600000,1300431600000,HEA20,219,LTG,1276930800000,FUL,1274684400000,IFR,HEA20_2010_1770,2010,,Within 100 metres,2004,71294524,0,0,1300518000000,0.5475407629411702,1770,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000496,1300431600000,1300431600000,FOR3,410,INC,1270710000000,FUL,1269673200000,IFR,FOR3_2010_1771,2010,,Within 100 metres,2005,71294525,0,0,1300518000000,0.5866041339912996,1771,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000497,1300431600000,1300431600000,KLK5,132,RES,1273993200000,FUL,1273734000000,IFR,KLK5_2010_1772,2010,,Within 100 metres,2006,71294526,0,0,1300518000000,0.4814687882879562,1772,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000498,1300431600000,1300431600000,TIM9,83,MIS,1275634800000,FUL,1274252400000,IFR,TIM9_2010_1773,2010,,Within 100 metres,2007,71294527,0,0,1300518000000,0.4769688936317255,1773,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000499,1300431600000,1300431600000,TIM7,125,INC,1275634800000,FUL,1274252400000,IFR,TIM7_2010_1774,2010,,Within 100 metres,2008,71294528,0,0,1300518000000,0.4482832720569115,1774,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000049a,1300431600000,1300431600000,WAW18,2051,UNK,1281423600000,FUL,1274943600000,IFR,WAW18_2010_1775,2010,,Within 100 metres,2009,71294529,0,0,1300518000000,0.4270411365374224,1775,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000049b,1300431600000,1300431600000,TIM13,135,LTG,1277276400000,FUL,1274857200000,IFR,TIM13_2010_1776,2010,,Within 100 metres,2010,71294530,0,0,1300518000000,0.3390788200879737,1776,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000450,1329811200000,1329811200000,RED27,225,LTG,1314514800000,FUL,1309762800000,IFR,RED27_2011_1701,2011,,Within 200 metres,1933,72861583,0,0,1329811200000,0.18397075049005285,1701,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000475,1329811200000,1329811200000,RED93,80,LTG,1311922800000,FUL,1310022000000,IFR,RED93_2011_1738,2011,,Within 200 metres,1979,72861593,0,0,1329811200000,0.2251720737551273,1738,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000477,1329811200000,1329811200000,SLK132,61,LTG,1313391600000,FUL,1312700400000,IFR,SLK132_2011_1740,2011,,Within 200 metres,1981,72861595,0,0,1329811200000,0.41704807665118404,1740,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000479,1329811200000,1329811200000,RED111,407,LTG,1312873200000,FUL,1310626800000,IFR,RED111_2011_1742,2011,,Within 200 metres,1984,72861598,0,0,1329811200000,0.3298498369318378,1742,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000047a,1329811200000,1329811200000,RED113,1033,LTG,1313737200000,FUL,1310626800000,IFR,RED113_2011_1743,2011,,Within 200 metres,1985,72861599,0,0,1329811200000,0.3879760442055546,1743,"{""type"":""MultiPoint"",""coordinates"":[]}"
