id,fire_name,fire_year,area_ha,area_m2,prov
78,QC_64_1991,1991,39.683777778011,396837.77778011,QC
76,QC_65_1990,1990,799.12177482122,7991217.7482122,QC
93,QC_728_1996,1996,7.7767886056915,77767.886056915,QC
94,QC_739_1996,1996,1.908970885708,19089.70885708,QC
95,QC_745_1996,1996,11.650641458679,116506.41458679,QC
96,QC_750_1996,1996,4.1567517011635,41567.517011635,QC
97,QC_757_1996,1996,16.438114650923,164381.14650923,QC
98,QC_783_1996,1996,6.431174587648,64311.74587648,QC
99,QC_788_1996,1996,8.6578192160375,86578.192160375,QC
79,QC_81_1991,1991,4798.9355424924,47989355.424924,QC
80,QC_96_1991,1991,175.37282541618,1753728.2541618,QC
