id,fire_name,rbr_cv,rbr_extreme,rbr_median,prov
1,RED7_1986_119,1.1007588368950896,505.9596794496457,78.01613291186244,ON
2,TER7_1986_83,0.599286056103404,470.0767834721779,309.6857291052036,ON
3,NIP9_1992_1122,1.243128965181643,236.1467647635781,67.9216150229899,ON
4,THU130_1991_1263,1.0998183954089618,373.7624457060401,73.9966310190055,ON
5,CHA8_2012_1924,0.6630230250375782,173.48331537400247,80.87249830585347,ON
6,RED208_1988_862,0.6602272151033786,390.049254269944,177.51580047607422,ON
7,IGN9_1987_492,1.1192338673862006,481.9478342410604,61.95437933148053,ON
8,NIP136_1995_1299,0.9264165382817146,378.0806397973113,93.981557655029,ON
9,SLK60_1996_884,0.4842667500219529,541.9413967686528,382.04227277267074,ON
10,THU71_1998_684,1.1198041703837596,460.07780250918967,91.9211616104721,ON
11,FOR13_1987_316,0.326287914236474,157.35904238244697,112.42370958480264,ON
12,NIP51_1996_620,0.8944470001614003,505.99657473972513,133.97451511213904,ON
13,DRY27_1996_1121,0.624210486689789,370.414531360973,178.04335420745906,ON
14,RED58_1999_677,1.2673741514889882,556.050153269965,83.98367505274383,ON
15,NIP230_1998_821,0.8472081565998416,486.00691026121984,245.99802566315088,ON
16,THU36_1996_1313,0.5185547326331876,503.5607630294589,351.1463928222656,ON
17,THU74_1996_1129,0.6962563697635442,513.746053305017,254.08322957035872,ON
18,NIP56_1998_832,1.0219328407886257,413.0716094970703,81.64471142023528,ON
19,NIP44_2000_29,0.7876019401284541,437.728946279972,137.86886659702932,ON
20,RED62_2002_93,1.2106102787192796,459.950541057823,59.75205608195005,ON
21,COC16_1997_1038,1.165571616269944,474.0140841836971,198.21125442577653,ON
22,NIP20_2005_1521,0.8370869854625757,460.05335282602414,228.0492621059041,ON
23,THU142_2006_1634,0.6343602292691808,542.0484410227906,261.9247450943854,ON
24,THU144_2006_1638,0.633487603143109,554.0379956637823,258.03916825581007,ON
25,PEM4_1999_1091,0.377764614359246,333.769901727289,230.07496114907607,ON
26,PEM8_1999_1450,0.8311543831409458,373.91464479780177,137.859786503726,ON
27,THU37_2007_1662,0.7026554989038328,411.9772081233178,211.96638236331012,ON
28,COC23_1995_1273,0.30111160575293033,58.72407913208008,40.04583358764648,ON
29,RED25_2010_1756,1.1481227943863632,250.61959075927737,45.005760130188285,ON
30,COC38_1995_629,1.3408802060620584,198.09153450644763,49.98117206269037,ON
31,SLK11_2007_1658,0.6548349386932067,374.05180174419365,185.9514225767589,ON
32,SAU4_1998_335,-3.495979947702905,129.76490783691406,-61.34208679199219,ON
33,SLK1_2012_1847,0.4970456867112637,186.64256286621097,125.67690207741477,ON
34,RED7_1986_119,1.1176019697679305,523.9995841738228,91.95875984446558,ON
35,TER7_1986_83,0.2963541538340682,429.4292194316912,305.89472579956055,ON
36,FOR13_1987_316,0.4207021323411132,197.0704491259316,130.96718482127662,ON
37,IGN9_1987_492,0.9472309616518154,387.90652921753593,83.86903219799996,ON
38,RED208_1988_862,0.9642987792388934,395.9145746249948,91.82305704677704,ON
39,THU130_1991_1263,0.7030788989382579,545.9720072530422,258.10697148800324,ON
40,NIP9_1992_1122,0.7626140066887674,141.90440912834097,57.91222411692601,ON
41,COC23_1995_1273,1.1496602106699023,457.9995312822847,65.97135031978179,ON
42,COC38_1995_629,1.5190242403197711,382.1096164636445,46.05844370366653,ON
43,NIP136_1995_1299,0.9383544393812904,564.0069191468472,99.83111764275046,ON
44,DRY27_1996_1121,0.8006488822031534,494.0442244096235,182.16563415527344,ON
45,NIP51_1996_620,0.8242593896947789,442.2405454469728,133.94689707843028,ON
46,SLK60_1996_884,1.2749827764800734,563.9900425238268,59.849776365964566,ON
