id,fire_name,preNBR,nbr1,nbr2,nbr3,nbr4,nbr5,nbr6,nbr7,nbr8,nbr9,nbr10,prov
1,RED7_1986_119,0.16523748972100158,0.1569317719371396,0.1839691804821752,0.13128481248476112,0.20051728358267987,0.22190093633159805,0.2237406054990608,0.15991616018587426,0.17003871204388504,0.2582594811495271,0.2057738580093255,ON
2,TER7_1986_83,0.2579895203721967,0.1416275763498275,0.2156572104207528,0.20539577693239305,0.15084590008357868,0.18489275373951103,0.20147166535557995,0.2751968906555479,0.1975873793543101,0.17865463319185962,0.2239452074164352,ON
3,NIP9_1992_1122,0.18490903786540328,0.18099328699259265,0.18682559170762425,0.195079385834877,0.1844998098676902,0.18705127311437417,0.20017706159420096,0.19615746038631504,0.21885211106645905,0.2211133146040611,0.224402149880798,ON
4,THU130_1991_1263,0.23171330655692624,0.17937734565308594,0.2030987789710781,0.22822179695527964,0.22118131879801903,0.22502383052188177,0.23444063035866364,0.22653538740943785,0.24991205911509248,0.2506315558556692,0.2101174374222113,ON
5,CHA8_2012_1924,0.2679368641191154,0.299893075714148,0.2671734199274864,0.2577624713599819,0.2842680157467318,0.24213577972068537,0.2673475952223503,0.21929856333217063,0.19548884445948533,0.2061213103689604,0.22475873507530456,ON
6,RED208_1988_862,0.21432119900894292,0.1618256930306526,0.2281320248786606,0.2214249589258588,0.1758043882640336,0.1834544866257722,0.1637275483001207,0.2331758014920355,0.21075991803620467,0.16294876036886616,0.2281107770373612,ON
7,IGN9_1987_492,0.12432032362543258,0.10660844431721817,0.1489626125055697,0.13757094725340946,0.1157875760435714,0.15343251066393843,0.15281098284776326,0.14917307530146964,0.13414795404723867,0.14577984539811353,0.225233476725516,ON
8,NIP136_1995_1299,0.19338387939778268,0.16202177086612804,0.13634319674439033,0.1701769216309086,0.1930607154930061,0.2111534165290073,0.20005416463198328,0.17905627690221712,0.17376921655127744,0.19086467101714977,0.2328571756015672,ON
9,SLK60_1996_884,0.14540001649659506,0.0727761150344807,0.17965630455744722,0.16324753557719798,0.135955657714857,0.12450007095352858,0.13757788811700866,0.10259160258914664,0.11943614586363194,0.15596736289697563,0.24630368233254185,ON
10,THU71_1998_684,0.1551374052106025,0.16109695887735312,0.23351971793736312,0.18322895670801945,0.15457894449539464,0.1760902422171811,0.19362195392886147,0.26195237116055764,0.2413077378835924,0.23274356984946995,0.25605468326658753,ON
11,FOR13_1987_316,0.27809436356368383,0.24615652474302585,0.2964443244220429,0.2884282122115542,0.2657103891028042,0.25557224895032893,0.258901713191325,0.2844275456517546,0.26795514196899906,0.24908938924915447,0.23457297909064104,ON
12,NIP51_1996_620,0.20185494327248227,0.10988853473972314,0.13137401632712836,0.17984213061668414,0.1799188176877499,0.21739823302549088,0.2044438429184314,0.1735282091673538,0.1963985420487581,0.18953273678589827,0.2284997864827904,ON
13,DRY27_1996_1121,0.12082760915595205,0.04258319686460347,0.11490198151997784,0.11540371845996308,0.13475222193327588,0.11058405729248157,0.1258796218242645,0.0984905171101232,0.14619021833452264,0.1869168823303984,0.23664801157220408,ON
14,RED58_1999_677,0.21959962129172572,0.10068983834493236,0.15983044191790308,0.15990315108567016,0.15747234144324973,0.1765652397920627,0.18618801165725787,0.16318207741569507,0.19901720840271472,0.17815156151202,0.20924082372563305,ON
15,NIP230_1998_821,0.1806493001765274,0.16888956491727075,0.17275316685186895,0.16460752933378783,0.14028781677966684,0.14242424076549837,0.15727052803355288,0.18436561901117257,0.17924383998273052,0.16493399008367057,0.2150062331573653,ON
16,THU36_1996_1313,0.19823331119014576,0.10639867135083313,0.22284173345612865,0.16261103205234084,0.2029009395283313,0.19986217738020187,0.18740349719721852,0.18913073196731603,0.18862019445236752,0.1968741153226246,0.24048160805017027,ON
17,THU74_1996_1129,0.17282982624722917,0.0870058234519893,0.16403220785697326,0.1626335048601563,0.1827214532861557,0.202365088574708,0.1877233691757312,0.14984261293083598,0.18634231531703527,0.20897210785962836,0.24573553371011608,ON
18,NIP56_1998_832,0.214305006540862,0.1609524358127861,0.16335598183094144,0.1948411509136596,0.22880823190948843,0.16326959552067258,0.1795246548279719,0.19007858594346252,0.2020912479013619,0.17511318975609458,0.2000108707478536,ON
