"","id","fire_name","sens1","sens2","uppr1","uppr2","lwr1","lwr2","sens10","uppr10","lwr10"
"1",1,"RED7_1986_119",15.3853974902307,10.8144218707498,69.2324710979188,88.2207691056421,-52.6843679974141,-63.8244453131865,9.08963620448227,14.5285038818468,-3.22541566445451
"2",2,"TER7_1986_83",-3.58936850926198,-4.77391019427085,74.0296340709253,73.725225299968,-54.5498768488144,-77.6095113012378,4.62838210525402,13.1789140310625,-4.4568572900889
"3",3,"NIP9_1992_1122",1.34166874440561,6.51751153746799,8.25379412725275,22.694650680144,-10.5795759671868,-4.0196012078859,4.75454504631641,7.32270094727418,2.52736223228707
"4",4,"THU130_1991_1263",10.2264455653347,-2.37657662758273,25.1230179842016,23.3766717056546,-7.04047815726062,-40.5141184334579,5.89004741153004,8.90677627532291,0.719496740576716
"5",5,"CHA8_2012_1924",-8.87841431821908,-8.61792075918329,26.5055443867498,18.6374247063442,-42.1322360260464,-48.0490318901797,-9.41094856750448,-5.20835332247208,-14.9148901792375
"6",6,"RED208_1988_862",-1.0237504375041,4.2079167617467,66.306331848008,69.4482531919148,-45.6205706618252,-47.8111576673385,0.380371053893617,8.73888244304277,-9.31189492997064
"7",7,"IGN9_1987_492",5.49524614035778,4.9676381995984,42.3541681883515,79.4536313274025,-21.7833712098381,-15.025121254231,4.59009450091682,12.5232184960152,-1.69661495167806
"8",8,"NIP136_1995_1299",19.2904742425253,7.05247489993114,33.8337248865183,41.9925045844174,-25.6785741217377,-20.9978877297661,6.23766996781452,12.2829114157198,-0.439208895171271
"9",9,"SLK60_1996_884",-13.9321778707888,26.9346643538989,106.880189522967,90.3363194355662,-27.291877862341,-34.986285527862,4.96924792577766,18.3913374362808,-10.5196041101096
"10",10,"THU71_1998_684",-2.871014353036,10.2070056658502,72.42275906001,68.3304172316961,-50.2907612293437,-20.6446332769653,10.5508582654705,17.5317117116804,-0.11087829827045
"11",11,"FOR13_1987_316",-9.07712618148197,-15.4944069206345,50.287799679017,25.5258324604296,-22.71782310875,-18.8657527198446,-4.09461404851103,2.54903768965983,-9.8421663400764
"12",12,"NIP51_1996_620",25.5749126258764,7.00812485018099,48.4681142895558,38.9670496968921,0.076687071065777,-30.9156337510776,8.43083856804508,18.7780512044034,1.61510102820236
"13",13,"DRY27_1996_1121",13.4626676568093,42.4699233030067,72.3187846553744,49.7311292418057,-24.1681646407943,-27.3891047141413,14.8010030671313,21.5627571897334,2.85949910031169
"14",14,"RED58_1999_677",13.6292726929844,6.08890069491111,59.1406035729707,35.8351309870197,-2.43080964242043,-23.0059342415628,7.04823894856613,12.0612205978556,2.61730279915956
"15",15,"NIP230_1998_821",-8.83977678197454,10.6000970116599,3.86360193459819,50.0722430736947,-24.319712554121,-14.3098498990599,2.57934234898364,10.2135380487309,-2.44566710007832
"16",16,"THU36_1996_1313",20.9957245856363,6.0628062739557,116.443062105296,43.6074927275457,-60.2307014037878,-0.51053751494851,5.20183248000533,13.7886767694138,-3.70965973335772
"17",17,"THU74_1996_1129",19.9768701416376,26.0972700034946,77.026384404984,36.7634258504877,-1.39870299681698,-37.8807562448953,10.2129157316429,20.0879484259994,2.50095794478777
"18",18,"NIP56_1998_832",9.67395178429605,4.21615779071705,33.9670809958288,24.897680991759,-65.5386363888159,-26.9780581452673,3.31076160146368,10.5539311154907,-1.47048835729243
"19",19,"NIP44_2000_29",-11.6577542378454,11.9207223398046,31.6965519524757,44.9292345016686,-71.5320676348696,-8.47310383982256,11.799074946663,18.5564678754915,1.634129875888
"20",20,"RED62_2002_93",-6.61959935452884,11.6310708407926,38.0537467020984,72.2682411478052,-9.87546689504106,-85.0797732822242,5.3080381718972,13.5078369024418,-4.29342988729292
"21",21,"COC16_1997_1038",7.21025842896428,19.4117073305672,35.6834643823198,34.238314434835,-32.6201630200698,-0.422574030266873,6.94908310730033,13.8383106623199,1.3904767212906
"22",22,"NIP20_2005_1521",17.2769246570971,21.3559319892121,53.5109607502478,61.9573710958712,2.33108314362428,-20.3169869945011,11.5643590731491,20.3320561077793,7.7225607139658
"23",23,"THU142_2006_1634",10.500291284068,12.6787412254402,81.6214264988798,38.6095144876168,-34.1953884441648,-18.7247815281326,8.24904283966942,14.2815085481556,1.08700053925455
"24",24,"THU144_2006_1638",11.774661552802,8.06576054393068,81.6063484437962,43.1638945588193,-33.7103122900346,-30.3837396985278,6.87862617795994,12.1448044398368,-0.221111106255393
"25",25,"PEM4_1999_1091",-2.19068528761873,-2.32185090066044,32.2209328508701,6.04138447315145,-37.5329882311847,-10.277870554034,1.23177001690266,5.35943209847738,-2.52545876087959
"26",26,"PEM8_1999_1450",0.707434390429583,-2.83444014761433,17.0167147299532,10.3802173384476,-20.8821376713044,-18.3947434416806,1.34709061197754,4.63739628758723,-1.09680818792894
"27",27,"THU37_2007_1662",0.507999612900324,-4.79243312284282,14.8015675998297,43.3822060027464,-12.9679504307673,-18.8417107880201,3.4692857823378,6.61151855073447,-0.931195130174878
"28",28,"COC23_1995_1273",6.59820582887928,-1.75219836899025,33.5408249863123,18.7097698136825,-8.95862991446319,-40.7472106403621,0.771003867583895,8.39207744795851,-6.15085894599411
"29",29,"RED25_2010_1756",4.95593263134832,-33.0194006003217,35.1243983363236,86.9079924741896,-14.8511011180232,-42.9020467503252,1.9051273712926,10.1366486091502,-7.00728254671278
"30",30,"COC38_1995_629",16.2534256744838,6.04128941931904,48.6158382558093,16.8218632236304,-27.4873158597513,-9.90858716973798,3.08266849972701,9.66848677528098,-4.50101049012675
