"","id","fire_name","slope1","slope2","se1","se2"
"1",1,"RED7_1986_119",-24.6249664138638,24.6249664138638,24.004731574823,24.004731574823
"2",2,"TER7_1986_83",-35.687311689534,35.6873116895339,22.1047736112256,22.1047736112256
"3",3,"NIP9_1992_1122",-25.2505500029352,25.2505500029351,6.25326725579643,6.25326725579643
"4",4,"THU130_1991_1263",-22.946799852346,22.946799852346,11.8620661322281,11.8620661322281
"5",5,"CHA8_2012_1924",47.6435428021524,-47.6435428021524,15.8988970734179,15.8988970734179
"6",6,"RED208_1988_862",-5.61625070192207,5.61625070192206,20.1113147706313,20.1113147706313
"7",7,"IGN9_1987_492",-28.9566487072788,28.9566487072788,18.6671057661762,18.6671057661762
"8",8,"NIP136_1995_1299",-20.7690966881509,20.7690966881509,16.5809282251132,16.5809282251132
"9",9,"SLK60_1996_884",-17.1481995923586,17.1481995923586,31.1389115289977,31.1389115289977
"10",10,"THU71_1998_684",-55.4330991707515,55.4330991707515,18.416113961067,18.416113961067
"11",11,"FOR13_1987_316",11.4729860555763,-11.4729860555763,12.7565039843257,12.7565039843257
"12",12,"NIP51_1996_620",-34.7962770012911,34.7962770012911,21.2031758230618,21.2031758230618
"13",13,"DRY27_1996_1121",-55.1800150202422,55.1800150202422,28.9311260815242,28.9311260815242
"14",14,"RED58_1999_677",-36.2637340259005,36.2637340259005,15.279010666784,15.279010666784
"15",15,"NIP230_1998_821",-22.3715783240798,22.3715783240798,12.0924648493874,12.0924648493874
"16",16,"THU36_1996_1313",-21.5791186443723,21.5791186443722,22.9365307408978,22.9365307408978
"17",17,"THU74_1996_1129",-35.9715721926729,35.9715721926729,25.0957109845305,25.0957109845305
"18",18,"NIP56_1998_832",-7.11823063783926,7.11823063783925,14.2702128388052,14.2702128388052
"19",19,"NIP44_2000_29",-55.7188687920689,55.7188687920689,17.5609702411931,17.5609702411931
"20",20,"RED62_2002_93",-31.519010384839,31.519010384839,18.2184989662943,18.2184989662943
"21",21,"COC16_1997_1038",-29.1494827431976,29.1494827431976,16.8868062207207,16.8868062207207
"22",22,"NIP20_2005_1521",-51.1397004352238,51.1397004352238,21.0111998201563,21.0111998201563
"23",23,"THU142_2006_1634",-33.524760560349,33.524760560349,18.6290256078661,18.6290256078661
"24",24,"THU144_2006_1638",-24.5209542672998,24.5209542672997,18.4304394721562,18.4304394721562
"25",25,"PEM4_1999_1091",-11.6428587930931,11.6428587930931,9.74638592895949,9.74638592895949
"26",26,"PEM8_1999_1450",-11.074175041402,11.074175041402,5.43555702230503,5.43555702230503
"27",27,"THU37_2007_1662",-23.0496616480147,23.0496616480147,7.71860024129871,7.71860024129871
"28",28,"COC23_1995_1273",-3.64198673992127,3.64198673992127,12.521375522532,12.521375522532
"29",29,"RED25_2010_1756",-20.9939902845597,20.9939902845597,21.4493921002479,21.4493921002479
"30",30,"COC38_1995_629",-9.30397407076774,9.30397407076773,17.8690121865701,17.8690121865701
"31",31,"SLK11_2007_1658",-52.4631967368143,52.4631967368142,19.8426115119261,19.8426115119261
"32",32,"SAU4_1998_335",26.2599923479588,-26.2599923479588,22.8364683757481,22.8364683757481
"33",33,"SLK1_2012_1847",12.5181761571018,-12.5181761571018,17.0826677999236,17.0826677999236
"34",34,"RED7_1986_119",-31.7064231664576,31.7064231664576,19.6698708058808,19.6698708058808
"35",35,"TER7_1986_83",-37.9051376979216,37.9051376979216,27.4246792476636,27.4246792476636
"36",36,"FOR13_1987_316",2.8430655108207,-2.84306551082071,14.3550723240478,14.3550723240478
"37",37,"IGN9_1987_492",-28.2481294979891,28.2481294979891,15.9981799676167,15.9981799676167
"38",38,"RED208_1988_862",-7.0108634229229,7.01086342292289,19.5217254626442,19.5217254626442
"39",39,"THU130_1991_1263",-50.2025168229922,50.2025168229922,18.857635998272,18.857635998272
"40",40,"NIP9_1992_1122",-21.7693531549477,21.7693531549477,8.52709828789979,8.52709828789979
"41",41,"COC23_1995_1273",-27.823130513291,27.823130513291,15.3426810953012,15.3426810953012
"42",42,"COC38_1995_629",-28.9226855298842,28.9226855298842,21.9877131620185,21.9877131620185
"43",43,"NIP136_1995_1299",-31.1714259982778,31.1714259982778,13.0916843406978,13.0916843406978
"44",44,"DRY27_1996_1121",-47.0999049458357,47.0999049458356,28.9548437596333,28.9548437596333
"45",45,"NIP51_1996_620",-23.602744645489,23.602744645489,18.4482291835152,18.4482291835152
"46",46,"SLK60_1996_884",-14.9056595359895,14.9056595359895,18.6029206081377,18.6029206081377
"47",47,"THU36_1996_1313",1.50368662427199,-1.50368662427199,21.3096531429395,21.3096531429395
"48",48,"THU74_1996_1129",-19.068860557174,19.068860557174,17.5292497094593,17.5292497094593
"49",49,"COC16_1997_1038",-22.548462893583,22.548462893583,14.4836543223395,14.4836543223395
"50",50,"NIP230_1998_821",-26.6015387637018,26.6015387637018,13.2338381464174,13.2338381464174
"51",51,"NIP56_1998_832",-12.0806543294536,12.0806543294536,14.3553559297913,14.3553559297913
"52",52,"SAU4_1998_335",1.85252437106157,-1.85252437106156,19.34626316198,19.34626316198
"53",53,"THU71_1998_684",-51.2522952949486,51.2522952949486,17.9209312299432,17.9209312299432
"54",54,"PEM4_1999_1091",-13.905153109973,13.905153109973,8.55345357865212,8.55345357865212
"55",55,"PEM8_1999_1450",-27.8999660214181,27.8999660214181,9.81176391822792,9.81176391822792
"56",56,"RED58_1999_677",-31.738308626918,31.738308626918,14.0115739863565,14.0115739863565
"57",57,"NIP44_2000_29",-34.2490948094629,34.2490948094629,10.1036529929968,10.1036529929968
