"","Fire_ID","Fire_Year","nbr1","nbr10","nbr2","nbr3","nbr4","nbr5","nbr6","nbr7","nbr8","nbr9","preNBR","RBR_median","feco","RBR_quant","area","coniferous"
"1","SLK13_2000_20",2000,0.127920595676819,0.245356209968513,0.102723296956188,0.281503890400958,0.149844417706407,0.223910504792976,0.194417890124195,0.176957714180688,0.204829232783603,0.234669681967122,0.499831874987097,300.247376,"Big Trout Lake",350.733696235699,72833.32776,45.360824742268
"2","NIP26_2000_21",2000,0.40417778636184,0.506087629844874,0.466374035028989,0.438964886710278,0.473546824612613,0.451847415726236,0.498071716705497,0.548512849811201,0.538137323275259,0.46572922376751,0.523540058660474,51.55640693,"Big Trout Lake",403.615137694649,349385.3447,1.72043010752688
"3","NIP19_2000_22",2000,0.30720748837423,0.373505432982299,0.318933390095649,0.292443336805315,0.348824294296513,0.352854529409711,0.399520887015496,0.395177463120403,0.405697008820509,0.395635709504592,0.486293472221189,110.8970459,"Big Trout Lake",519.349183158007,10134243.88,14.0305366142899
"4","NIP24_2000_23",2000,0.151464562324095,0.325321371744724,0.202009784644001,0.247559778666157,0.237719282330931,0.256885626986649,0.233039762680796,0.245450135993279,0.329168047777547,0.286653565070338,0.258396427379138,127.3438117,"Big Trout Lake",377.463421337068,381817.8896,36.3106796116505
"5","SLK18_2000_24",2000,0.254221958671874,0.375681841632948,0.248337271777279,0.300181719580381,0.256886860991759,0.326730291675412,0.327764458661642,0.316667282180588,0.373843653894174,0.341241688899552,0.630531116298651,210.9737757,"Big Trout Lake",368.033517875317,97445.53589,91.6666666666667
"6","RED12_2000_25",2000,0.330602351931489,0.427988888882094,0.370462075292957,0.346368562518055,0.329862261652867,0.412176249389837,0.397640933697563,0.424193818945303,0.385134510627576,0.316739521647617,0.45392586784243,168.5594638,"Lake St. Joseph",357.622980351311,2158990.987,37.1338912133891
"7","NIP25_2000_26",2000,0.367073674607368,0.492277806299877,0.40325222338195,0.428192570065707,0.357704166980189,0.46135188619713,0.495167460983927,0.487543673577855,0.462909210566713,0.530262958612114,0.572418703441762,155.5116375,"Big Trout Lake",438.905305648017,234628.8538,15
"8","SLK6_2000_27",2000,0.403249428781976,0.505466605696847,0.408327567819502,0.464647999054812,0.431336376361643,0.475510994042816,0.439668367148688,0.488778997905158,0.530194576098271,0.504173479911918,0.550597489353619,296.430743,"Big Trout Lake",449.17720508746,902012.6631,82.0794590025359
"9","SLK16_2000_28",2000,0.373567424897355,0.518458954356764,0.373855231065661,0.416322213061009,0.41825723415623,0.445862841322199,0.435557405777844,0.480451453023966,0.495723105191133,0.488223325154455,0.596222203042168,114.3178083,"Big Trout Lake",410.909270337365,2528996.897,81.7828297935986
"10","FOR1_2000_59",2000,0.596783224330319,0.618057690256413,0.586170606530542,0.56934980036224,0.624231616895189,0.654053148588615,0.592878969264443,0.61923115505878,0.584770017820477,0.568618025436842,0.652930424309254,128.081759,"Agassiz Clay Plain",163.637124916069,576163.873,26.7647058823529
"11","CHA19_2000_60",2000,0.523376755224913,0.518657688911223,0.492993908717157,0.514659542416874,0.536945775108404,0.543958238736781,0.523604307951672,0.551350942282813,0.573777885292736,0.464472998741232,0.584158975648389,64.9397811,"Lake Abitibi",214.259339142584,752444.7471,71.4611872146119
"12","RED14_2000_57",2000,0.324848139525889,0.503392946716482,0.405547542125722,0.395408315113958,0.373141806238864,0.473241788537408,0.467950763794058,0.479109478793167,0.429287208473637,0.320024342025485,0.421677286917443,203.4238476,"Lake St. Joseph",418.360578328651,28057713.32,14.3859554790838
"13","NIP44_2000_29",2000,0.438294486306202,0.505250131845073,0.400441540320943,0.344699691698055,0.365295435760516,0.365522464881547,0.438092215677807,0.473347052166212,0.494954012846294,0.542164242976063,0.534194447459597,233.7462631,"Lake Nipigon",415.842302561854,41637270.98,75.1525819350642
"14","DRY14_2000_30",2000,0.424219172878216,0.487629594608757,0.451128198055132,0.44108337910556,0.407554558639562,0.495146257432266,0.47741433314055,0.483847609026655,0.48993325360644,0.460962590426208,0.527450503702833,132.1178575,"Lake Wabigoon",259.274945806241,631075.046,29.0196078431373
"15","HEA21_2000_31",2000,0.446382557923125,0.555425091855585,0.467809508347864,0.314560126773349,0.410999524446847,0.479414701664414,0.503759713387099,0.508919076660989,0.613665457902258,0.546486179915608,0.561717316551982,216.1342407,"Lake Abitibi",258.770564451849,493933.3467,4.12541254125413
"16","NIP42_2000_32",2000,0.299057217760373,0.520105430767904,0.323742411199916,0.239220596678566,0.253664614560155,0.348292071273704,0.384017459866796,0.390918770067207,0.454995259176446,0.532869671794468,0.301574317637122,138.5178122,"Lake Nipigon",246.088792097655,3337243.234,82.4317738791423
"17","PEM2_2000_35",2000,0.602412583600701,0.605099028778332,0.631404422176187,0.611346600412527,0.648522382343617,0.615047545091462,0.655707514276904,0.608494574321034,0.622485062789186,0.687465996644126,0.646423877863756,172.9445927,"Georgian Bay",243.623760664926,459978.8965,35.3689567430025
"18","HEA11_2000_58",2000,0.346470251248379,0.534712774124932,0.382690077006639,0.418979077984067,0.473723586634774,0.503803094486056,0.490432078866431,0.485400570914714,0.528101140980718,0.339204814672643,0.669223677771128,432.0918338,"Lake Abitibi",593.471637205885,1765744.546,97.9313587212036
"19","SAU8_2000_61",2000,0.58037571372717,0.564425499090271,0.607484948520827,0.518607826834705,0.595355263033635,0.525475708587587,0.510130457151196,0.49407589349199,0.644320939135137,0.535105270009391,0.62070974207271,145.5171631,"Georgian Bay",271.473871299227,294430.3647,0
