"","Fire_ID","Fire_Year","nbr1","nbr10","nbr2","nbr3","nbr4","nbr5","nbr6","nbr7","nbr8","nbr9","preNBR","RBR_median","feco","RBR_quant","area","coniferous","defol","years_defol","tsd","slope1","slope2","se1","se2","sens1","sens2","uppr1","uppr2","lwr1","lwr2"
"1","SLK13_2000_20",2000,0.127920595676819,0.245356209968513,0.102723296956188,0.281503890400958,0.149844417706407,0.223910504792976,0.194417890124195,0.176957714180688,0.204829232783603,0.234669681967122,0.499831874987097,300.247376,"Big Trout Lake",350.733696235699,72833.32776,45.360824742268,0,0,0,-0.0340656046981547,0.0340656046981548,0.0353531892590381,0.0353531892590381,0.0237790188270744,0.00126701966467831,0.17878059344477,0.0298404491835188,-0.131659472694551,-0.0509383198443186
"2","NIP26_2000_21",2000,0.40417778636184,0.506087629844874,0.466374035028989,0.438964886710278,0.473546824612613,0.451847415726236,0.498071716705497,0.548512849811201,0.538137323275259,0.46572922376751,0.523540058660474,51.55640693,"Big Trout Lake",403.615137694649,349385.3447,1.72043010752688,0,0,0,-0.0643255589928771,0.0643255589928772,0.0192168906816138,0.0192168906816138,0.009179335924539,-0.00905275732935937,0.0621962486671491,0.050441133105704,-0.0274091483187108,-0.0724080995077488
"3","NIP19_2000_22",2000,0.30720748837423,0.373505432982299,0.318933390095649,0.292443336805315,0.348824294296513,0.352854529409711,0.399520887015496,0.395177463120403,0.405697008820509,0.395635709504592,0.486293472221189,110.8970459,"Big Trout Lake",519.349183158007,10134243.88,14.0305366142899,0,0,0,-0.0698546924923762,0.0698546924923763,0.0129298957387729,0.0129298957387729,0.0115688309901447,0.00431031501653986,0.0563809574911977,0.0260154540331967,-0.026490053290334,-0.0100612993159168
"4","NIP24_2000_23",2000,0.151464562324095,0.325321371744724,0.202009784644001,0.247559778666157,0.237719282330931,0.256885626986649,0.233039762680796,0.245450135993279,0.329168047777547,0.286653565070338,0.258396427379138,127.3438117,"Big Trout Lake",377.463421337068,381817.8896,36.3106796116505,0,0,0,-0.0647987696629701,0.0647987696629702,0.0276483949493563,0.0276483949493563,0.0227608054106779,0.00684629932837856,0.0505452223199055,0.0837179117842683,-0.00984049633522555,-0.0922816090639284
"5","SLK18_2000_24",2000,0.254221958671874,0.375681841632948,0.248337271777279,0.300181719580381,0.256886860991759,0.326730291675412,0.327764458661642,0.316667282180588,0.373843653894174,0.341241688899552,0.630531116298651,210.9737757,"Big Trout Lake",368.033517875317,97445.53589,91.6666666666667,0,0,0,-0.0697681645144398,0.0697681645144398,0.0195211609646234,0.0195211609646234,0.0157006846492001,-0.00461138371480328,0.0698434306836529,0.0571763717135862,-0.0432948585886217,-0.0479173829713056
"6","RED12_2000_25",2000,0.330602351931489,0.427988888882094,0.370462075292957,0.346368562518055,0.329862261652867,0.412176249389837,0.397640933697563,0.424193818945303,0.385134510627576,0.316739521647617,0.45392586784243,168.5594638,"Lake St. Joseph",357.622980351311,2158990.987,37.1338912133891,0,0,0,-0.0324452346029897,0.0324452346029897,0.0253267825527295,0.0253267825527295,0.0108939149961216,-0.0273897395793007,0.0823139877369697,0.0265528852477393,-0.0240935127749024,-0.0683949889799588
"7","NIP25_2000_26",2000,0.367073674607368,0.492277806299877,0.40325222338195,0.428192570065707,0.357704166980189,0.46135188619713,0.495167460983927,0.487543673577855,0.462909210566713,0.530262958612114,0.572418703441762,155.5116375,"Big Trout Lake",438.905305648017,234628.8538,15,0,0,0,-0.0901173177616284,0.0901173177616285,0.0220314952488076,0.0220314952488077,0.0214680535845835,0.000261294161519404,0.103647719216941,0.0673537480454006,-0.0704884030855178,-0.0246344630111414
"8","SLK6_2000_27",2000,0.403249428781976,0.505466605696847,0.408327567819502,0.464647999054812,0.431336376361643,0.475510994042816,0.439668367148688,0.488778997905158,0.530194576098271,0.504173479911918,0.550597489353619,296.430743,"Big Trout Lake",449.17720508746,902012.6631,82.0794590025359,0,0,0,-0.0570419321400267,0.0570419321400267,0.0209328407056923,0.0209328407056923,0.0147848977931403,0.0079699489019272,0.0563204312353092,0.0491106307564699,-0.0333116226931685,-0.0657982385481585
"9","SLK16_2000_28",2000,0.373567424897355,0.518458954356764,0.373855231065661,0.416322213061009,0.41825723415623,0.445862841322199,0.435557405777844,0.480451453023966,0.495723105191133,0.488223325154455,0.596222203042168,114.3178083,"Big Trout Lake",410.909270337365,2528996.897,81.7828297935986,0,0,0,-0.0781098598003416,0.0781098598003416,0.0195339983068963,0.0195339983068963,0.0197256240940188,-0.00180692198571668,0.0424669819953479,0.0448940472461221,0.000287806168305538,-0.0829015485789207
"10","FOR1_2000_59",2000,0.596783224330319,0.618057690256413,0.586170606530542,0.56934980036224,0.624231616895189,0.654053148588615,0.592878969264443,0.61923115505878,0.584770017820477,0.568618025436842,0.652930424309254,128.081759,"Agassiz Clay Plain",163.637124916069,576163.873,26.7647058823529,0,0,0,0.00940650777398966,-0.00940650777398967,0.0178495713362515,0.0178495713362515,0.0166739931234486,-0.0117279035084357,0.054881816532949,0.0263521857943366,-0.0168208061683023,-0.0344611372383021
"11","CHA19_2000_60",2000,0.523376755224913,0.518657688911223,0.492993908717157,0.514659542416874,0.536945775108404,0.543958238736781,0.523604307951672,0.551350942282813,0.573777885292736,0.464472998741232,0.584158975648389,64.9397811,"Lake Abitibi",214.259339142584,752444.7471,71.4611872146119,1,5,11,-0.00398592059510956,0.00398592059510956,0.0204595282095592,0.0204595282095592,0.0108309058941653,0.0106466228631222,0.0222862326915297,0.0277466343311411,-0.0303828465077553,-0.109304886551503
