system:index,BUSINESS_E,EFFECTIVE_,FIRE_DISTU,FIRE_FINAL,FIRE_GENER,FIRE_OUT_D,FIRE_RESPO,FIRE_START,FIRE_TYPE_,Fire_ID,Fire_Year,GENERAL_CO,LOCATION_A,OBJECTID,OGF_ID,SHAPEAREA,SHAPELEN,SYSTEM_DAT,nbr1,nbr10,nbr2,nbr3,nbr4,nbr5,nbr6,nbr7,nbr8,nbr9,old_f_id,preNBR,.geo
0000000000000000004d,1049184000000,1059634800000,COC3,605,REC,582793200000,NR,582015600000,IFR,COC3_1988_79,1988,Origin:NR,AP Approximate (to 500m),101,46001156,0,0,1114671600000,0.35285221478293693,0.487098812608153,0.4007740988653226,0.4314446001145799,0.4281568324081439,0.4462112073411142,0.5233635080997545,0.4630294582432826,0.4682919791994326,0.4737481059941266,79,0.548211569569005,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a,1049184000000,1059634800000,SIO196,450,LTG,589618800000,NR,587631600000,IFR,SIO196_1988_118,1988,Origin:NR,AP Approximate (to 500m),153,46001224,0,0,1114671600000,0.20660207272316797,0.4132014974074658,0.1825344351896056,0.3246685307201328,0.4474800227666113,0.32747806963759835,0.31471601308304264,0.38107650852281755,0.31590628854633507,0.4051286609669332,118,0.5491671389993013,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074,1049184000000,1059634800000,SIO100,12900,LTG,589014000000,NR,582015600000,IFR,SIO100_1988_128,1988,Origin:NR,AP Approximate (to 500m),164,46001214,0,0,1114671600000,0.48260995941569224,0.501191905449647,0.4273229699986167,0.4715105041599338,0.4589812655135197,0.4166780414100216,0.4382169743689901,0.44691054224466287,0.47921134468512494,0.4511106774655616,128,0.5855305917049024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f,1049184000000,1059634800000,RED35,14500,LTG,584434800000,NR,580978800000,IFR,RED35_1988_144,1988,Origin:NR,AP Approximate (to 500m),186,46001203,0,0,1114671600000,0.30638036122541956,0.48204078736896133,0.31354519772244593,0.40902121974646344,0.4092123168175764,0.37611430606366747,0.4041734161948638,0.4040190652731634,0.4173763603945411,0.4153891498841204,144,0.5846554747137567,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b3,1049184000000,1059634800000,TER6,270,LTG,584434800000,NR,581583600000,IFR,TER6_1988_220,1988,Origin:NR,AP Approximate (to 500m),274,46001232,0,0,1114671600000,0.46802105181616155,0.43853663173417384,0.3752129144539066,0.4844368981318965,0.21164638819862455,0.5091717809597531,0.5104703625482832,0.4404635245493965,0.2832012774822245,0.5539367721874079,220,0.4377305682601466,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6,1049184000000,1059634800000,ESP16,274,LTG,586249200000,NR,582793200000,IFR,ESP16_1988_225,1988,Origin:NR,AP Approximate (to 500m),282,46001157,0,0,1114671600000,0.5046224182574054,0.5613774583381105,0.5325718379432687,0.5975974444583654,0.5107121411562727,0.5570380737515578,0.5464766688574265,0.5907111450852874,0.48604950818070525,0.601048148210359,225,0.5450554190063379,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d6,1049184000000,1059634800000,RED230,200,LTG,584694000000,NR,582793200000,IFR,RED230_1988_277,1988,Origin:NR,AP Approximate (to 500m),340,46001184,0,0,1114671600000,0.1894867215451605,0.5272395187908377,0.244320654199949,0.31434150624122986,0.2998062056792623,0.33182873281137426,0.392243276122259,0.44369932894277936,0.4341663120855928,0.38846417591065374,277,0.4576396923205727,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e1,1049184000000,1059634800000,SIO109,5700,LTG,589532400000,NR,583225200000,IFR,SIO109_1988_304,1988,Origin:NR,AP Approximate (to 500m),370,46001216,0,0,1114671600000,0.3891267881700709,0.513639609383763,0.4042012686297139,0.475339095626482,0.4850678872456409,0.4297340339140458,0.43663440679166626,0.4468110388213076,0.4829234625038499,0.47504409987756285,304,0.5629617466343722,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f0,1049184000000,1059634800000,RED99,1340,LTG,585385200000,NR,581756400000,IFR,RED99_1988_326,1988,Origin:NR,AP Approximate (to 500m),395,46001213,0,0,1114671600000,0.24120471415228179,0.41577024709880045,0.24367570880108325,0.3187887001528504,0.3252396067070861,0.35343273384562274,0.34537561988944077,0.39032869111979157,0.3311176310724594,0.42106345267748646,326,0.4898132820247929,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,1049184000000,1059634800000,RED19,4800,LTG,585385200000,NR,580806000000,IFR,RED19_1988_341,1988,Origin:NR,AP Approximate (to 500m),411,46001178,0,0,1114671600000,0.17211016300465143,0.3480778034328272,0.2399988424297466,0.2824528756629675,0.30319355263040615,0.28997761616213164,0.315672705905645,0.3347554448053953,0.35584789351808044,0.3663578526677103,341,0.4441810730292978,"{""type"":""MultiPoint"",""coordinates"":[]}"
