system:index,BUSINESS_E,EFFECTIVE_,FIRE_DISTU,FIRE_FINAL,FIRE_GENER,FIRE_OUT_D,FIRE_RESPO,FIRE_START,FIRE_TYPE_,Fire_ID,Fire_Year,GENERAL_CO,LOCATION_A,OBJECTID,OGF_ID,SHAPEAREA,SHAPELEN,SYSTEM_DAT,nbr1,nbr10,nbr2,nbr3,nbr4,nbr5,nbr6,nbr7,nbr8,nbr9,old_f_id,preNBR,.geo
00000000000000000013,986112000000,1003302000000,SLK13,50,LTG,966582000000,MON,964940400000,IFR,SLK13_2000_20,2000,Origin:NTS50,RE Reliable (to 100m),27,46000134,0,0,1114671600000,0.1279205956768192,0.24535620996851312,0.10272329695618762,0.28150389040095775,0.14984441770640672,0.22391050479297614,0.19441789012419455,0.17695771418068793,0.20482923278360332,0.23466968196712207,20,0.4998318749870973,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,986112000000,1003302000000,NIP26,120,LTG,967359600000,MON,965026800000,IFR,NIP26_2000_21,2000,Origin:NTS50,RE Reliable (to 100m),28,46000127,0,0,1114671600000,0.40417778636183965,0.5060876298448744,0.46637403502898883,0.438964886710278,0.4735468246126128,0.4518474157262359,0.4980717167054968,0.5485128498112009,0.5381373232752588,0.4657292237675099,21,0.523540058660474,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,986112000000,1003302000000,NIP19,750,LTG,968310000000,MON,964335600000,IFR,NIP19_2000_22,2000,Origin:NTS50,RE Reliable (to 100m),29,46000124,0,0,1114671600000,0.30720748837422984,0.373505432982299,0.3189333900956488,0.29244333680531476,0.3488242942965125,0.35285452940971124,0.39952088701549565,0.3951774631204032,0.4056970088205087,0.3956357095045919,22,0.4862934722211887,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,986112000000,1003302000000,NIP24,120,LTG,967359600000,MON,964940400000,IFR,NIP24_2000_23,2000,Origin:NTS50,RE Reliable (to 100m),30,46000125,0,0,1114671600000,0.15146456232409541,0.3253213717447241,0.20200978464400085,0.24755977866615675,0.23771928233093118,0.25688562698664863,0.2330397626807957,0.24545013599327856,0.3291680477775469,0.28665356507033846,23,0.2583964273791379,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,986112000000,1003302000000,SLK18,78,LTG,966582000000,MON,965026800000,IFR,SLK18_2000_24,2000,Origin:NTS50,RE Reliable (to 100m),31,46000136,0,0,1114671600000,0.2542219586718736,0.3756818416329476,0.24833727177727902,0.30018171958038103,0.25688686099175934,0.32673029167541223,0.327764458661642,0.31666728218058815,0.3738436538941743,0.34124168889955236,24,0.6305311162986508,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,986112000000,1003302000000,RED12,221,LTG,968914800000,MON,964335600000,IFR,RED12_2000_25,2000,Origin:NTS50,RE Reliable (to 100m),33,46000131,0,0,1114671600000,0.3306023519314885,0.42798888888209385,0.370462075292957,0.3463685625180546,0.3298622616528675,0.4121762493898372,0.3976409336975635,0.4241938189453028,0.3851345106275759,0.3167395216476171,25,0.45392586784243005,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,986112000000,1003302000000,NIP25,80,LTG,967273200000,MON,965026800000,IFR,NIP25_2000_26,2000,Origin:NTS50,RE Reliable (to 100m),34,46000126,0,0,1114671600000,0.36707367460736795,0.4922778062998767,0.40325222338194977,0.4281925700657067,0.35770416698018886,0.46135188619712963,0.49516746098392656,0.48754367357785466,0.46290921056671325,0.5302629586121139,26,0.5724187034417624,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,986112000000,1003302000000,SLK6,125,LTG,961052400000,MON,959583600000,IFR,SLK6_2000_27,2000,Origin:NTS50,RE Reliable (to 100m),35,46000137,0,0,1114671600000,0.4032494287819755,0.5054666056968469,0.4083275678195024,0.4646479990548116,0.43133637636164307,0.4755109940428163,0.4396683671486884,0.48877899790515833,0.5301945760982711,0.5041734799119176,27,0.5505974893536191,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,986112000000,1003302000000,SLK16,100,LTG,966582000000,MON,964940400000,IFR,SLK16_2000_28,2000,Origin:NTS50,RE Reliable (to 100m),36,46000135,0,0,1114671600000,0.37356742489735545,0.5184589543567644,0.373855231065661,0.4163222130610089,0.41825723415622956,0.4458628413221993,0.43555740577784374,0.4804514530239658,0.4957231051911333,0.4882233251544552,28,0.5962222030421682,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,986112000000,1003302000000,FOR1,60,UNK,953193600000,MON,952675200000,IFR,FOR1_2000_59,2000,Origin:NTS50,RE Reliable (to 100m),73,46000117,0,0,1114671600000,0.5967832243303193,0.6180576902564134,0.5861706065305419,0.5693498003622396,0.6242316168951886,0.6540531485886145,0.592878969264443,0.6192311550587796,0.5847700178204774,0.5686180254368423,59,0.6529304243092536,"{""type"":""MultiPoint"",""coordinates"":[]}"
