system:index,BUSINESS_E,EFFECTIVE_,FIRE_DISTU,FIRE_FINAL,FIRE_GENER,FIRE_OUT_D,FIRE_RESPO,FIRE_START,FIRE_TYPE_,Fire_ID,Fire_Year,GENERAL_CO,LOCATION_A,OBJECTID,OGF_ID,SHAPEAREA,SHAPELEN,SYSTEM_DAT,nbr1,nbr10,nbr2,nbr3,nbr4,nbr5,nbr6,nbr7,nbr8,nbr9,old_f_id,preNBR,.geo
0000000000000000007d,1049184000000,1059634800000,RED82,500,LTG,803545200000,MON,803372400000,IFR,RED82_1995_139,1995,Origin:NR,AP Approximate (to 500m),179,46001602,0,0,1114671600000,0.1785611507328976,0.4645731150772001,0.32465295344916045,0.31053262986343877,0.34204475701895676,0.3797722963741068,0.37901375208644683,0.41922432383022246,0.36915916279704597,0.33981101889680304,139,0.5124414101034341,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000be,1049184000000,1059634800000,SLK70,2800,LTG,804754800000,MON,803372400000,IFR,SLK70_1995_237,1995,Origin:NR,AP Approximate (to 500m),294,46001636,0,0,1114671600000,0.42381236059598815,0.571043767620346,0.511773331491977,0.5460098209537255,0.5358759245393758,0.5739270800003682,0.5404097634249969,0.5490355528611542,0.5328397715007986,0.5050580690445692,237,0.580532026806181,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cd,1049184000000,1059634800000,NIP64,300,LTG,805186800000,MON,803545200000,IFR,NIP64_1995_262,1995,Origin:NR,AP Approximate (to 500m),322,46001585,0,0,1114671600000,0.32043757342676416,0.3973292635725488,0.34911629539625416,0.47240317099406665,0.44697083105148044,0.46927875610949993,0.46224102694301705,0.4146943899564202,0.36728041883621976,0.3664987013941368,262,0.49849255916900337,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ef,1049184000000,1059634800000,SLK47,3600,LTG,803545200000,MON,803113200000,IFR,SLK47_1995_323,1995,Origin:NR,AP Approximate (to 500m),391,46001621,0,0,1114671600000,0.2706794017128912,0.4523270180134475,0.3588061812431943,0.370516294187388,0.3794849061223375,0.3811524503262207,0.3646005425840367,0.36422078599816166,0.3955552086606402,0.3434564586538528,323,0.5083922838609639,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013d,1049184000000,1059634800000,NIP82,3500,LTG,806828400000,MON,803545200000,IFR,NIP82_1995_463,1995,Origin:NR,AP Approximate (to 500m),542,46001588,0,0,1114671600000,0.19850831788841738,0.403993986884479,0.1827658471346715,0.3295097062033359,0.3297835710773458,0.36091286042842824,0.3270088407254068,0.3350696552866527,0.3653921674795877,0.3634034594964478,463,0.46482690209533256,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000149,1049184000000,1059634800000,RED29,379,LTG,802076400000,MON,801730800000,IFR,RED29_1995_484,1995,Origin:NR,AP Approximate (to 500m),568,46001596,0,0,1114671600000,0.052050955159657644,0.43979461949292803,0.14469384451103182,0.24006509137148255,0.3563078942767641,0.2719185397036529,0.3217489211852578,0.34396288836085465,0.32590783335140133,0.3347168605820501,484,0.4913803083493053,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000152,1049184000000,1059634800000,RED88,700,LTG,806655600000,MON,803458800000,IFR,RED88_1995_497,1995,Origin:NR,AP Approximate (to 500m),582,46001606,0,0,1114671600000,0.3004817424554837,0.5135464774649268,0.4165830627874845,0.4170532003392508,0.40632261946714593,0.45796802686166893,0.4427602005639686,0.5386950861572798,0.5142171413143306,0.4288609499055999,497,0.5886177761480044,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000158,1049184000000,1059634800000,SLK62,2500,LTG,803718000000,MON,803286000000,IFR,SLK62_1995_504,1995,Origin:NR,AP Approximate (to 500m),591,46001633,0,0,1114671600000,0.1774041438029458,0.4654093179837098,0.3272674327446796,0.36247522732123527,0.3676969380509332,0.4348278111899541,0.3976352483524473,0.3715488496448307,0.3983734927134351,0.34808701157897165,504,0.5421757863991358,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000166,1049184000000,1059634800000,RED129,2674,LTG,807433200000,MON,803631600000,IFR,RED129_1995_524,1995,Origin:NR,AP Approximate (to 500m),615,46001589,0,0,1114671600000,0.2701695764695962,0.40631829764837624,0.32653446667996977,0.38452135325410136,0.38213416971872133,0.37087910456818957,0.4337336532307468,0.4362547376429707,0.40040171025627685,0.2858624439127823,524,0.5295502521585124,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016f,1049184000000,1059634800000,NIP22,900,LTG,806828400000,MON,801990000000,IFR,NIP22_1995_543,1995,Origin:NR,AP Approximate (to 500m),637,46001578,0,0,1114671600000,0.28469767501659216,0.463410971887728,0.3356829247457993,0.4426724892395245,0.4149505738198984,0.4423593865238288,0.40853690871076687,0.41822113907641023,0.43103127059355245,0.4073844250418392,543,0.5023799511276047,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000186,1049184000000,1059634800000,RED74,19288,LTG,805705200000,MON,803199600000,IFR,RED74_1995_590,1995,Origin:NR,AP Approximate (to 500m),688,46001599,0,0,1114671600000,0.2264685902200269,0.48527024528775375,0.3433927368596585,0.33232568703199167,0.3563098244328958,0.41461034861562784,0.3992298906955523,0.43120231237553636,0.41754450404454163,0.39936124367506126,590,0.4919114293465056,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001b7,1049184000000,1059634800000,RED93,3153,LTG,803545200000,MON,803372400000,IFR,RED93_1995_667,1995,Origin:NR,AP Approximate (to 500m),769,46001608,0,0,1114671600000,0.2584506679768471,0.4950423257427486,0.36916982727700515,0.36342584406596357,0.3812831265413064,0.44323551715320947,0.4002704168687314,0.4631723673171014,0.47156563185524714,0.3998549560128361,667,0.5339759620003348,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000223,1049184000000,1059634800000,SLK59,2000,LTG,803545200000,MON,803199600000,IFR,SLK59_1995_841,1995,Origin:NR,AP Approximate (to 500m),968,46001630,0,0,1114671600000,0.2948202279549015,0.4867709416677258,0.38242548451650726,0.41394734872113453,0.449258629068513,0.3390684061143588,0.43493052934290677,0.41869329840135255,0.4591151934967256,0.41806468987836937,841,0.5419822558376187,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000226,1049184000000,1059634800000,COC36,33344,LTG,813826800000,MON,804841200000,IFR,COC36_1995_847,1995,Origin:NR,AP Approximate (to 500m),974,46001555,0,0,1114671600000,0.3653911943764079,0.5716207178944935,0.46418469941449386,0.5141770167275042,0.44687511240795785,0.47683810692549167,0.5184321001971194,0.5227507666962545,0.5054194531285642,0.5226241315001556,847,0.5568808957261066,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000023e,1049184000000,1059634800000,RED22,1980,LTG,802335600000,MON,801903600000,IFR,RED22_1995_901,1995,Origin:NR,AP Approximate (to 500m),1032,46001593,0,0,1114671600000,0.4933535212849133,0.5469802022761439,0.47880217716929946,0.5459194072483777,0.5444246339704644,0.5261379222293289,0.5377878923789732,0.5503553885620016,0.5239610466021098,0.5028172626870937,901,0.5630067299149052,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000243,1049184000000,1059634800000,NIP54,2300,LTG,806742000000,MON,803286000000,IFR,NIP54_1995_915,1995,Origin:NR,AP Approximate (to 500m),1047,46001584,0,0,1114671600000,0.3898839691400764,0.4691760426080266,0.40783511348687723,0.4684811302916419,0.46998111293835554,0.428176836990884,0.47624089903534694,0.46510034201975825,0.45468935411486977,0.4198440227322303,915,0.5217849920730864,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000244,1049184000000,1059634800000,NIP33,2400,LTG,806742000000,MON,802940400000,IFR,NIP33_1995_917,1995,Origin:NR,AP Approximate (to 500m),1050,46001579,0,0,1114671600000,0.2891223752842523,0.45637277943929866,0.3861924773305805,0.4584077856084959,0.46410299936945343,0.42932636233957966,0.45586579399818,0.45317938976770367,0.4582544168240908,0.43623675101404047,917,0.49064435320683014,"{""type"":""MultiPoint"",""coordinates"":[]}"
