system:index,BUSINESS_E,EFFECTIVE_,FIRE_DISTU,FIRE_FINAL,FIRE_GENER,FIRE_OUT_D,FIRE_RESPO,FIRE_START,FIRE_TYPE_,Fire_ID,Fire_Year,GENERAL_CO,LOCATION_A,OBJECTID,OGF_ID,SHAPEAREA,SHAPELEN,SYSTEM_DAT,nbr1,nbr10,nbr2,nbr3,nbr4,nbr5,nbr6,nbr7,nbr8,nbr9,old_f_id,preNBR,.geo
00000000000000000450,1329811200000,1329811200000,RED27,225,LTG,1314514800000,FUL,1309762800000,IFR,RED27_2011_1701,2011,,Within 200 metres,1933,72861583,0,0,1329811200000,0.18397075049005285,0.318867590345313,0.2044521429383503,0.30524811845263916,0.24056668098854617,0.3241411183184943,0.37053105833162875,0.3803892814683804,0.30911757636156895,0.3405170816202107,1701,0.5372968911502953,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000475,1329811200000,1329811200000,RED93,80,LTG,1311922800000,FUL,1310022000000,IFR,RED93_2011_1738,2011,,Within 200 metres,1979,72861593,0,0,1329811200000,0.2251720737551273,0.436658024167116,0.11572216671076471,0.2965533417722437,0.3159527511368449,0.23299173889216368,0.4065344892651242,0.41153853436062576,0.22738625552451375,0.2888049543133931,1738,0.5782617080473891,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000477,1329811200000,1329811200000,SLK132,61,LTG,1313391600000,FUL,1312700400000,IFR,SLK132_2011_1740,2011,,Within 200 metres,1981,72861595,0,0,1329811200000,0.41704807665118404,0.5162417195099412,0.4094603395215582,0.41311321384781985,0.4165344967805148,0.46843165698345285,0.49414123771716706,0.46856299411132196,0.4713167416381207,0.4295621831945927,1740,0.5913998582577091,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000479,1329811200000,1329811200000,RED111,407,LTG,1312873200000,FUL,1310626800000,IFR,RED111_2011_1742,2011,,Within 200 metres,1984,72861598,0,0,1329811200000,0.3298498369318378,0.4048892240528635,0.31559683926820187,0.3781067446270558,0.35840677429423384,0.40887061301240146,0.4150811566950226,0.3969658659914726,0.3884421245319503,0.40026540230481483,1742,0.5936106261741659,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000047a,1329811200000,1329811200000,RED113,1033,LTG,1313737200000,FUL,1310626800000,IFR,RED113_2011_1743,2011,,Within 200 metres,1985,72861599,0,0,1329811200000,0.3879760442055546,0.4571045941949201,0.3760365433433238,0.42981568702883555,0.4221238748512215,0.45456178444293416,0.4809664895877864,0.46094777626388717,0.4358958623809639,0.45049601397090877,1743,0.5614524884717819,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000047f,1329811200000,1329811200000,KEN91,40,LTG,1314687600000,FUL,1313046000000,IFR,KEN91_2011_1748,2011,,Within 200 metres,1992,72861606,0,0,1329811200000,0.42094078871651947,0.5250756963375561,0.4745233040120258,0.5055730131930973,0.48017886499530527,0.5748232599698098,0.5566596785882666,0.5776977295788028,0.550615735683114,0.5660400930447692,1748,0.5959690062777219,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000480,1329811200000,1329811200000,WAW12,60,LTG,1309330800000,FUL,1307430000000,IFR,WAW12_2011_1749,2011,,Within 200 metres,1993,72861607,0,0,1329811200000,0.5281587200255089,0.5510516551308661,0.42706269516395373,0.5370314187920754,0.5216874624260903,0.558642911753723,0.5174539111184816,0.5138931096868126,0.5054852298937492,0.603991775414249,1749,0.5521100130657762,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000481,1329811200000,1329811200000,TIM34,40,MIS,1325232000000,FUL,1316934000000,IFR,TIM34_2011_1750,2011,,Within 200 metres,1994,72861608,0,0,1329811200000,0.3492881748264208,0.34007422174301016,0.33385590550027494,0.38477706312680765,0.3475481262663497,0.3931258635540388,0.4138844360258628,0.3579264948820521,0.38384090705047136,0.345707518949077,1750,0.39107328322659696,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004a6,1329811200000,1329811200000,RED55,1322,LTG,1313737200000,FUL,1309762800000,IFR,RED55_2011_1787,2011,,Within 100 metres,2023,72858854,0,0,1329811200000,0.42249033444781875,0.4596466458308583,0.3986952949487358,0.452647932163827,0.43792539880370634,0.4449867950758892,0.4927613635729751,0.49124120833127455,0.4368606186228876,0.40366059298963713,1787,0.5925180053473974,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004ad,1329811200000,1329811200000,RED122,302,LTG,1312614000000,FUL,1311145200000,IFR,RED122_2011_1794,2011,,Within 100 metres,2030,72858894,0,0,1329811200000,0.3008789154117197,0.4419521407475868,0.25090280881816246,0.3730510575400625,0.34392085219903074,0.36061072986595943,0.4058954466417982,0.4494554846297461,0.38832662396101897,0.4274666263364514,1794,0.5212657840699222,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004b9,1329811200000,1329811200000,RED26,121,LTG,1311750000000,FUL,1309503600000,IFR,RED26_2011_1806,2011,,Within 100 metres,2042,72858814,0,0,1329811200000,0.3221976846511711,0.3912359818751095,0.30802002924500804,0.35126513752614125,0.34730252893517227,0.35785935936986474,0.4017057470330218,0.4159053101159573,0.3740721647163918,0.36613544505708456,1806,0.5592435619123804,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004ba,1329811200000,1329811200000,SLK70,141000,LTG,1319094000000,FUL,1310022000000,IFR,SLK70_2011_1807,2011,,Within 100 metres,2043,72858820,0,0,1329811200000,0.27634007136526895,0.49094433063065435,0.3171137145762309,0.350327666212226,0.3853222333408317,0.4394272145828111,0.46457775075431434,0.4329411808335864,0.4533623645127851,0.4336435380433018,1807,0.5347886503381453,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004bf,1329811200000,1329811200000,RED103,61,LTG,1312182000000,FUL,1310799600000,IFR,RED103_2011_1812,2011,,Within 100 metres,2048,72858910,0,0,1329811200000,0.29190137146491324,0.33554519700503077,0.280953084883261,0.37082550546187926,0.33487975489191113,0.31681644775773354,0.40193362105456043,0.4152532271118514,0.3314891399285294,0.3541381907169524,1812,0.4900998798811113,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004c2,1329811200000,1329811200000,SLK60,19001,LTG,1312009200000,FUL,1307257200000,IFR,SLK60_2011_1815,2011,,Within 100 metres,2051,72858929,0,0,1329811200000,0.3792709725062694,0.5141262196853735,0.4191174296268429,0.456393709757163,0.469211591658622,0.5068216908851649,0.5154597362947309,0.4932258642389149,0.4777745089332126,0.4749813537709763,1815,0.5550926922136515,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004c4,1329811200000,1329811200000,SLK95,150,LTG,1312354800000,FUL,1310972400000,IFR,SLK95_2011_1817,2011,,Within 100 metres,2053,72858942,0,0,1329811200000,0.415726595284451,0.503615748116129,0.4066590759505251,0.4312441452899923,0.4545038476404514,0.4706052559237451,0.5114370107070615,0.47838870849090925,0.4748453239960132,0.4794002035105468,1817,0.5628868025093033,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004c6,1329811200000,1329811200000,SLK61,4611,LTG,1315033200000,FUL,1309762800000,IFR,SLK61_2011_1819,2011,,Within 100 metres,2055,72858960,0,0,1329811200000,0.39575764460812735,0.5286308160238021,0.41534681382505395,0.45909446864591436,0.44902919343892883,0.4817483836393914,0.511722334069374,0.48874815627638846,0.49947346375957896,0.46058792778344587,1819,0.5613768583009622,"{""type"":""MultiPoint"",""coordinates"":[]}"
