"","Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value","Std.Estimate","Fisher.C","fisherC.df","fisherC.P.Value","Chisq","chisq.df","chisq.P.Value"
"1","rbr_cv","composite",1,0.7753,105,1.2899,0.1999,0.1382,2.166,2,0.339,233.038,1,0
"2","slope2","rbr_cv",2.231,1.1259,138,1.9815,0.0495,0.1663,NA,NA,NA,NA,NA,NA
