"","term","estimate","std.error","df","statistic","p.value"
"1","(Intercept)",431.0151279915,15.1985990565992,69,28.3588721819959,0
"2","tsd",-5.69692870063988,1.92445519250935,67,-2.96028129042147,0.004
"3","cumltve_yrs",-4.12886327373026,6.74904533110944,67,-0.611769972072707,0.543
"4","tsd:cumltve_yrs",2.26825602304576,1.11996649153958,67,2.02528918515024,0.047
