"","term","estimate","std.error","df","statistic","p.value"
"1","(Intercept)",0.88511285206229,0.0756517261615842,69,11.6998368308448,0
"2","tsd",-0.0167731760131549,0.0130628587673187,67,-1.28403562435497,0.204
"3","cumltve_yrs",0.0215006156286312,0.0451197385345484,67,0.476523497851568,0.635
"4","tsd:cumltve_yrs",0.00145046577889976,0.00740857298370326,67,0.195782073294057,0.845
