"","Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value","Std.Estimate","Fisher.C","fisherC.df","fisherC.P.Value","Chisq","chisq.df","chisq.P.Value"
"1","rbr_median","composite",1,0.997,105,1.003,0.3182,0.1032,6.235,2,0.044,236.39,1,0
"2","slope2","rbr_median",-7e-04,0.0063,138,-0.1177,0.9064,-0.01,NA,NA,NA,NA,NA,NA
