"","Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value","Std.Estimate","Fisher.C","fisherC.df","fisherC.P.Value","Chisq","chisq.df","chisq.P.Value"
"1","rbr_median","composite",1,0.997,105,1.003,0.3182,0.1032,2.942,2,0.23,168.212,1,0
"2","slope10","rbr_median",0.0114,0.0026,138,4.4439,0,0.3538,NA,NA,NA,NA,NA,NA
