"","term","estimate","std.error","df","statistic","p.value"
"1","(Intercept)",137.918992296865,14.8454303033368,32,9.29033308423974,0
"2","tsd",-6.00826024932515,3.52136518980815,30,-1.70623037528592,0.098
"3","cumltve_yrs",-1.27129656894276,7.9345718234137,30,-0.160222453994475,0.874
"4","tsd:cumltve_yrs",2.75774942371615,1.51929726259836,30,1.81514802376445,0.08
