"","term","estimate","std.error","df","statistic","p.value"
"1","(Intercept)",2.20947180884698,0.925532656731469,69,2.38724348922464,0.02
"2","tsd",-0.0866672870161213,0.0815781133152975,67,-1.06238405736542,0.292
"3","cumltve_yrs",0.256959954580828,0.287847544718441,67,0.892694620105844,0.375
"4","tsd:cumltve_yrs",0.00434111357574753,0.0479629647682675,67,0.0905097004891496,0.928
