"","Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value","Std.Estimate","Fisher.C","fisherC.df","fisherC.P.Value","Chisq","chisq.df","chisq.P.Value"
"1","rbr_median","composite",1,0.997,105,1.003,0.3182,0.1032,0.515,2,0.773,247.206,1,0
"2","sens1","rbr_median",-0.0032,0.0145,64,-0.2213,0.8255,-0.0348,NA,NA,NA,NA,NA,NA
