"","Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value","Std.Estimate","Fisher.C","fisherC.df","fisherC.P.Value","Chisq","chisq.df","chisq.P.Value"
"1","rbr_extreme","composite",1,0.4279,105,2.3372,0.0213,0.2298,2.857,2,0.24,233.064,1,0
"2","slope2","rbr_extreme",-0.0043,0.0056,138,-0.7698,0.4427,-0.0654,NA,NA,NA,NA,NA,NA
